temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion
19.7,33,2.9,0.0,9999,0.0,9999,780.3,0.0,05/04/23 0:10,AGOS
19.6,34,3.3,0.0,9999,0.0,9999,780.3,0.0,05/04/23 0:20,AGOS
19.6,35,3.7,1.6,360,6.4,360,780.2,0.0,05/04/23 0:30,AGOS
19.5,35,3.6,1.6,360,4.8,360,780.1,0.0,05/04/23 0:40,AGOS
19.3,36,3.8,0.0,9999,0.0,9999,780.1,0.0,05/04/23 0:50,AGOS
19.3,36,3.8,3.2,360,8.0,360,780.0,0.0,05/04/23 1:00,AGOS
19.3,36,3.9,4.8,360,8.0,360,779.9,0.0,05/04/23 1:10,AGOS
19.3,36,3.8,1.6,360,8.0,360,779.9,0.0,05/04/23 1:20,AGOS
19.1,37,4.0,0.0,360,4.8,360,779.8,0.0,05/04/23 1:30,AGOS
18.8,38,4.2,1.6,360,4.8,360,779.7,0.0,05/04/23 1:40,AGOS
18.8,38,4.2,1.6,360,6.4,360,779.7,0.0,05/04/23 1:50,AGOS
18.7,39,4.4,3.2,360,6.4,360,779.7,0.0,05/04/23 2:00,AGOS
18.6,40,4.7,3.2,360,6.4,360,779.6,0.0,05/04/23 2:10,AGOS
18.5,40,4.6,1.6,360,8.0,360,779.4,0.0,05/04/23 2:20,AGOS
18.2,41,4.7,1.6,360,6.4,360,779.4,0.0,05/04/23 2:30,AGOS
18.2,41,4.7,3.2,360,6.4,360,779.3,0.0,05/04/23 2:40,AGOS
18.0,42,4.9,1.6,360,3.2,360,779.2,0.0,05/04/23 2:50,AGOS
17.8,43,5.0,0.0,360,3.2,360,779.2,0.0,05/04/23 3:00,AGOS
17.7,43,5.0,1.6,360,3.2,360,779.1,0.0,05/04/23 3:10,AGOS
17.7,44,5.3,1.6,360,3.2,360,779.0,0.0,05/04/23 3:20,AGOS
17.6,45,5.5,1.6,360,3.2,360,779.0,0.0,05/04/23 3:30,AGOS
17.4,45,5.4,1.6,360,3.2,360,779.1,0.0,05/04/23 3:40,AGOS
17.3,45,5.2,0.0,360,1.6,360,779.1,0.0,05/04/23 3:50,AGOS
17.1,45,5.0,0.0,9999,0.0,9999,779.0,0.0,05/04/23 4:00,AGOS
16.7,46,5.0,0.0,9999,0.0,9999,779.0,0.0,05/04/23 4:10,AGOS
16.1,47,4.8,0.0,360,1.6,360,779.1,0.0,05/04/23 4:20,AGOS
16.0,49,5.3,0.0,360,3.2,360,779.1,0.0,05/04/23 4:30,AGOS
16.2,49,5.5,0.0,360,3.2,360,779.1,0.0,05/04/23 4:40,AGOS
16.2,49,5.4,1.6,360,3.2,360,779.3,0.0,05/04/23 4:50,AGOS
16.4,49,5.7,0.0,360,3.2,360,779.3,0.0,05/04/23 5:00,AGOS
16.5,49,5.7,0.0,9999,0.0,9999,779.4,0.0,05/04/23 5:10,AGOS
16.6,48,5.5,3.2,360,6.4,360,779.5,0.0,05/04/23 5:20,AGOS
16.7,47,5.3,1.6,360,6.4,360,779.6,0.0,05/04/23 5:30,AGOS
16.7,47,5.3,3.2,360,6.4,360,779.7,0.0,05/04/23 5:40,AGOS
16.7,47,5.3,1.6,360,4.8,360,779.7,0.0,05/04/23 5:50,AGOS
16.5,53,6.9,1.6,360,6.4,360,780.0,0.0,05/04/23 6:00,AGOS
16.2,53,6.6,1.6,360,6.4,360,780.0,0.0,05/04/23 6:10,AGOS
15.9,54,6.6,3.2,360,8.0,360,780.1,0.0,05/04/23 6:20,AGOS
15.6,54,6.3,4.8,360,8.0,360,780.2,0.0,05/04/23 6:30,AGOS
15.4,53,5.9,1.6,360,6.4,360,780.3,0.0,05/04/23 6:40,AGOS
15.3,53,5.7,0.0,360,3.2,360,780.3,0.0,05/04/23 6:50,AGOS
15.4,52,5.6,0.0,9999,0.0,9999,780.4,0.0,05/04/23 7:00,AGOS
15.8,51,5.7,0.0,9999,0.0,9999,780.5,0.0,05/04/23 7:10,AGOS
16.3,50,5.8,3.2,360,6.4,360,780.5,0.0,05/04/23 7:20,AGOS
16.8,49,6.0,1.6,360,6.4,360,780.5,0.0,05/04/23 7:30,AGOS
17.6,47,6.1,1.6,360,4.8,360,780.6,0.0,05/04/23 7:40,AGOS
18.0,46,6.2,3.2,360,8.0,360,780.7,0.0,05/04/23 7:50,AGOS
18.4,45,6.2,1.6,360,8.0,360,780.8,0.0,05/04/23 8:00,AGOS
18.8,45,6.6,4.8,360,9.7,360,780.8,0.0,05/04/23 8:10,AGOS
19.2,44,6.6,3.2,360,9.7,360,780.9,0.0,05/04/23 8:20,AGOS
19.4,44,6.8,4.8,360,11.3,360,780.8,0.0,05/04/23 8:30,AGOS
19.9,43,7.0,3.2,360,8.0,360,780.9,0.0,05/04/23 8:40,AGOS
20.4,42,7.1,3.2,360,11.3,360,780.9,0.0,05/04/23 8:50,AGOS
21.0,41,7.2,3.2,360,9.7,360,780.9,0.0,05/04/23 9:00,AGOS
21.2,39,6.7,3.2,360,9.7,360,780.9,0.0,05/04/23 9:10,AGOS
21.7,37,6.4,3.2,360,8.0,360,780.9,0.0,05/04/23 9:20,AGOS
22.4,36,6.6,3.2,360,9.7,360,780.9,0.0,05/04/23 9:30,AGOS
23.2,36,7.3,3.2,360,9.7,360,780.9,0.0,05/04/23 9:40,AGOS
23.5,35,7.1,3.2,360,6.4,360,780.9,0.0,05/04/23 9:50,AGOS
23.4,35,7.1,4.8,360,9.7,360,780.9,0.0,05/04/23 10:00,AGOS
23.7,35,7.3,6.4,360,12.9,360,780.8,0.0,05/04/23 10:10,AGOS
24.1,34,7.3,4.8,360,16.1,360,780.7,0.0,05/04/23 10:20,AGOS
23.9,34,7.1,8.0,360,12.9,360,780.6,0.0,05/04/23 10:30,AGOS
23.9,33,6.7,6.4,360,16.1,360,780.4,0.0,05/04/23 10:40,AGOS
24.3,31,6.1,6.4,360,16.1,360,780.4,0.0,05/04/23 10:50,AGOS
24.9,30,6.1,8.0,360,14.5,360,780.3,0.0,05/04/23 11:00,AGOS
24.7,30,6.0,11.3,360,19.3,360,780.2,0.0,05/04/23 11:10,AGOS
24.9,28,5.1,8.0,360,17.7,360,780.1,0.0,05/04/23 11:20,AGOS
25.2,28,5.4,8.0,360,14.5,360,780.1,0.0,05/04/23 11:30,AGOS
25.7,27,5.3,9.7,360,19.3,360,779.9,0.0,05/04/23 11:40,AGOS
25.9,26,5.0,8.0,360,16.1,360,779.7,0.0,05/04/23 11:50,AGOS
26.1,26,5.1,6.4,360,14.5,360,779.7,0.0,05/04/23 12:00,AGOS
26.9,25,5.2,8.0,360,17.7,360,779.5,0.0,05/04/23 12:10,AGOS
26.9,25,5.2,6.4,360,11.3,360,779.3,0.0,05/04/23 12:20,AGOS
27.7,23,4.6,4.8,360,11.3,360,779.2,0.0,05/04/23 12:30,AGOS
28.2,21,3.8,8.0,360,20.9,360,779.0,0.0,05/04/23 12:40,AGOS
27.9,21,3.5,11.3,360,24.1,360,779.0,0.0,05/04/23 12:50,AGOS
28.3,21,3.9,6.4,360,19.3,360,778.6,0.0,05/04/23 13:00,AGOS
28.4,20,3.3,11.3,360,30.6,360,778.4,0.0,05/04/23 13:10,AGOS
28.8,19,2.9,8.0,360,17.7,360,778.3,0.0,05/04/23 13:20,AGOS
29.1,19,3.1,8.0,360,17.7,360,778.0,0.0,05/04/23 13:30,AGOS
29.7,17,2.0,6.4,360,17.7,360,777.8,0.0,05/04/23 13:40,AGOS
29.6,18,2.7,8.0,360,16.1,360,777.7,0.0,05/04/23 13:50,AGOS
30.4,17,2.6,4.8,360,11.3,360,777.4,0.0,05/04/23 14:00,AGOS
30.3,16,1.7,11.3,360,22.5,360,777.2,0.0,05/04/23 14:10,AGOS
29.7,14,-0.6,12.9,360,25.7,360,777.2,0.0,05/04/23 14:20,AGOS
29.9,10,-5.0,12.9,360,30.6,360,777.0,0.0,05/04/23 14:30,AGOS
30.1,9,-6.3,14.5,360,37.0,360,776.8,0.0,05/04/23 14:40,AGOS
30.3,10,-4.7,11.3,360,37.0,360,776.7,0.0,05/04/23 14:50,AGOS
30.7,10,-4.5,12.9,360,25.7,360,776.5,0.0,05/04/23 15:00,AGOS
31.4,9,-5.3,8.0,360,16.1,360,776.4,0.0,05/04/23 15:10,AGOS
31.2,8,-7.0,12.9,360,30.6,360,776.4,0.0,05/04/23 15:20,AGOS
31.4,8,-6.8,11.3,360,22.5,360,776.5,0.0,05/04/23 15:30,AGOS
31.4,8,-6.9,11.3,360,24.1,360,776.2,0.0,05/04/23 15:40,AGOS
31.4,9,-5.3,9.7,360,20.9,360,776.2,0.0,05/04/23 15:50,AGOS
31.4,11,-2.6,11.3,360,32.2,360,776.1,0.0,05/04/23 16:00,AGOS
31.2,10,-4.0,12.9,360,25.7,360,776.3,0.0,05/04/23 16:10,AGOS
30.8,11,-3.1,11.3,360,32.2,360,776.2,0.0,05/04/23 16:20,AGOS
30.6,14,0.0,12.9,360,29.0,360,776.1,0.0,05/04/23 16:30,AGOS
30.1,15,0.6,12.9,360,30.6,360,776.2,0.0,05/04/23 16:40,AGOS
29.9,13,-1.5,12.9,360,25.7,360,776.3,0.0,05/04/23 16:50,AGOS
29.8,13,-1.6,11.3,360,24.1,360,776.3,0.0,05/04/23 17:00,AGOS
29.7,13,-1.7,11.3,360,25.7,360,776.4,0.0,05/04/23 17:10,AGOS
29.3,13,-2.0,11.3,360,22.5,360,776.4,0.0,05/04/23 17:20,AGOS
29.2,13,-2.1,11.3,360,22.5,360,776.3,0.0,05/04/23 17:30,AGOS
28.8,15,-0.4,12.9,360,25.7,360,776.4,0.0,05/04/23 17:40,AGOS
28.5,12,-3.7,12.9,360,29.0,360,776.5,0.0,05/04/23 17:50,AGOS
28.3,13,-2.7,11.3,360,22.5,360,776.6,0.0,05/04/23 18:00,AGOS
28.2,15,-0.9,11.3,360,22.5,360,776.6,0.0,05/04/23 18:10,AGOS
27.9,16,-0.2,9.7,360,20.9,360,776.8,0.0,05/04/23 18:20,AGOS
27.6,17,0.3,8.0,360,20.9,360,776.8,0.0,05/04/23 18:30,AGOS
27.1,17,-0.1,9.7,360,29.0,360,776.7,0.0,05/04/23 18:40,AGOS
26.4,19,0.9,9.7,360,20.9,360,777.0,0.0,05/04/23 18:50,AGOS
25.9,20,1.2,9.7,360,17.7,360,777.1,0.0,05/04/23 19:00,AGOS
25.4,22,2.2,11.3,360,25.7,360,777.4,0.0,05/04/23 19:10,AGOS
25.1,23,2.5,9.7,360,19.3,360,777.6,0.0,05/04/23 19:20,AGOS
24.8,23,2.2,9.7,360,24.1,360,777.8,0.0,05/04/23 19:30,AGOS
24.6,23,2.0,9.7,360,20.9,360,778.2,0.0,05/04/23 19:40,AGOS
24.2,24,2.4,9.7,360,24.1,360,778.4,0.0,05/04/23 19:50,AGOS
23.9,25,2.7,8.0,360,19.3,360,778.8,0.0,05/04/23 20:00,AGOS
23.8,25,2.6,8.0,360,19.3,360,778.9,0.0,05/04/23 20:10,AGOS
23.7,26,3.0,6.4,360,17.7,360,779.0,0.0,05/04/23 20:20,AGOS
23.4,26,2.8,4.8,360,12.9,360,779.2,0.0,05/04/23 20:30,AGOS
23.3,27,3.3,6.4,360,12.9,360,779.4,0.0,05/04/23 20:40,AGOS
23.4,27,3.4,8.0,360,14.5,360,779.5,0.0,05/04/23 20:50,AGOS
23.4,28,3.9,4.8,360,12.9,360,779.6,0.0,05/04/23 21:00,AGOS
23.2,29,4.1,4.8,360,14.5,360,779.7,0.0,05/04/23 21:10,AGOS
22.9,35,6.7,8.0,360,17.7,360,779.8,0.0,05/04/23 21:20,AGOS
22.7,36,6.8,11.3,360,17.7,360,779.9,0.0,05/04/23 21:30,AGOS
22.3,38,7.3,9.7,360,16.1,360,780.0,0.0,05/04/23 21:40,AGOS
22.1,39,7.5,8.0,360,14.5,360,780.1,0.0,05/04/23 21:50,AGOS
21.9,37,6.5,12.9,360,20.9,360,780.1,0.0,05/04/23 22:00,AGOS
21.9,38,7.0,14.5,360,22.5,360,780.2,0.0,05/04/23 22:10,AGOS
21.9,37,6.6,11.3,360,25.7,360,780.4,0.0,05/04/23 22:20,AGOS
21.4,38,6.5,11.3,360,20.9,360,780.6,0.0,05/04/23 22:30,AGOS
21.1,39,6.6,9.7,360,16.1,360,780.6,0.0,05/04/23 22:40,AGOS
20.9,39,6.5,12.9,360,22.5,360,780.7,0.0,05/04/23 22:50,AGOS
20.4,41,6.7,12.9,360,24.1,360,780.8,0.0,05/04/23 23:00,AGOS
20.0,44,7.4,12.9,360,22.5,360,780.8,0.0,05/04/23 23:10,AGOS
19.7,48,8.3,12.9,360,22.5,360,780.9,0.0,05/04/23 23:20,AGOS
19.6,50,8.8,12.9,360,20.9,360,780.9,0.0,05/04/23 23:30,AGOS
19.4,51,9.0,14.5,360,22.5,360,780.9,0.0,05/04/23 23:40,AGOS
19.3,52,9.2,11.3,360,17.7,360,780.8,0.0,05/04/23 23:50,AGOS
19.3,50,8.6,8.0,360,14.5,360,780.7,0.0,06/04/23 00:00,AGOS
19.5,55,10.2,9.7,360,17.7,360,780.7,0.0,06/04/23 0:10,AGOS
19.3,57,10.6,11.3,360,17.7,360,780.7,0.0,06/04/23 0:20,AGOS
19.2,57,10.5,11.3,360,17.7,360,780.7,0.0,06/04/23 0:30,AGOS
19.1,58,10.6,12.9,360,16.1,360,780.6,0.0,06/04/23 0:40,AGOS
18.9,59,10.8,12.9,360,17.7,360,780.6,0.0,06/04/23 0:50,AGOS
18.8,60,10.8,12.9,360,19.3,360,780.6,0.0,06/04/23 1:00,AGOS
18.7,60,10.7,12.9,360,19.3,360,780.5,0.0,06/04/23 1:10,AGOS
18.6,60,10.6,9.7,360,16.1,360,780.3,0.0,06/04/23 1:20,AGOS
18.4,61,10.8,9.7,360,16.1,360,780.3,0.0,06/04/23 1:30,AGOS
18.4,62,11.0,9.7,360,14.5,360,780.2,0.0,06/04/23 1:40,AGOS
18.3,62,10.9,8.0,360,14.5,360,780.1,0.0,06/04/23 1:50,AGOS
18.2,63,11.1,9.7,360,14.5,360,780.1,0.0,06/04/23 2:00,AGOS
18.1,64,11.2,8.0,360,12.9,360,780.1,0.0,06/04/23 2:10,AGOS
18.1,64,11.1,6.4,360,11.3,360,780.2,0.0,06/04/23 2:20,AGOS
