temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion,radSol
13.1,34,-2.5,6.4,202.5,12.9,180.0,1026.6,0.0,05/04/23 00:05,BELVS,0
13.1,34,-2.5,4.8,202.5,9.7,157.5,1026.6,0.0,05/04/23 00:10,BELVS,0
13.1,34,-2.5,4.8,202.5,9.7,157.5,1026.5,0.0,05/04/23 00:15,BELVS,0
12.9,35,-2.2,4.8,202.5,9.7,202.5,1026.5,0.0,05/04/23 00:20,BELVS,0
12.9,35,-2.2,4.8,202.5,11.3,202.5,1026.3,0.0,05/04/23 00:25,BELVS,0
12.9,36,-1.8,6.4,202.5,12.9,157.5,1026.2,0.0,05/04/23 00:30,BELVS,0
12.9,37,-1.4,6.4,202.5,11.3,180.0,1026.3,0.0,05/04/23 00:35,BELVS,0
12.9,37,-1.4,4.8,202.5,9.7,180.0,1026.2,0.0,05/04/23 00:40,BELVS,0
12.9,38,-1.1,4.8,202.5,9.7,225.0,1026.1,0.0,05/04/23 00:45,BELVS,0
12.8,39,-0.8,6.4,202.5,12.9,247.5,1026.0,0.0,05/04/23 00:50,BELVS,0
12.7,40,-0.6,6.4,202.5,9.7,225.0,1026.0,0.0,05/04/23 00:55,BELVS,0
12.7,41,-0.3,4.8,202.5,8.0,225.0,1026.0,0.0,05/04/23 01:00,BELVS,0
12.6,42,0.0,4.8,202.5,9.7,202.5,1025.9,0.0,05/04/23 01:05,BELVS,0
12.6,43,0.3,6.4,202.5,11.3,202.5,1025.8,0.0,05/04/23 01:10,BELVS,0
12.6,43,0.3,4.8,202.5,8.0,202.5,1025.8,0.0,05/04/23 01:15,BELVS,0
12.6,44,0.6,4.8,202.5,9.7,180.0,1025.6,0.0,05/04/23 01:20,BELVS,0
12.5,45,0.9,4.8,225.0,9.7,225.0,1025.6,0.0,05/04/23 01:25,BELVS,0
12.4,45,0.8,4.8,202.5,9.7,225.0,1025.6,0.0,05/04/23 01:30,BELVS,0
12.4,47,1.4,4.8,202.5,9.7,225.0,1025.5,0.0,05/04/23 01:35,BELVS,0
12.4,47,1.4,4.8,202.5,9.7,225.0,1025.6,0.0,05/04/23 01:40,BELVS,0
12.3,48,1.6,4.8,202.5,9.7,180.0,1025.5,0.0,05/04/23 01:45,BELVS,0
12.3,48,1.6,4.8,202.5,9.7,247.5,1025.5,0.0,05/04/23 01:50,BELVS,0
12.3,49,1.9,4.8,202.5,11.3,247.5,1025.4,0.0,05/04/23 01:55,BELVS,0
12.3,49,1.9,4.8,202.5,9.7,202.5,1025.4,0.0,05/04/23 02:00,BELVS,0
12.3,50,2.1,4.8,202.5,11.3,202.5,1025.3,0.0,05/04/23 02:05,BELVS,0
12.3,50,2.1,4.8,202.5,8.0,180.0,1025.3,0.0,05/04/23 02:10,BELVS,0
12.3,50,2.1,4.8,202.5,11.3,202.5,1025.2,0.0,05/04/23 02:15,BELVS,0
12.3,51,2.4,4.8,202.5,11.3,202.5,1025.1,0.0,05/04/23 02:20,BELVS,0
12.2,51,2.3,4.8,202.5,8.0,202.5,1025.1,0.0,05/04/23 02:25,BELVS,0
12.1,52,2.5,4.8,202.5,9.7,180.0,1025.0,0.0,05/04/23 02:30,BELVS,0
12.1,52,2.5,3.2,202.5,9.7,180.0,1025.0,0.0,05/04/23 02:35,BELVS,0
12.0,53,2.7,4.8,202.5,9.7,202.5,1025.0,0.0,05/04/23 02:40,BELVS,0
11.9,53,2.7,4.8,180.0,11.3,157.5,1024.9,0.0,05/04/23 02:45,BELVS,0
11.9,54,2.9,4.8,202.5,9.7,202.5,1024.8,0.0,05/04/23 02:50,BELVS,0
11.9,54,2.9,4.8,202.5,9.7,180.0,1024.8,0.0,05/04/23 02:55,BELVS,0
11.8,54,2.8,4.8,202.5,12.9,202.5,1024.8,0.0,05/04/23 03:00,BELVS,0
11.8,54,2.8,4.8,202.5,11.3,180.0,1024.8,0.0,05/04/23 03:05,BELVS,0
11.8,54,2.8,4.8,202.5,11.3,225.0,1024.6,0.0,05/04/23 03:10,BELVS,0
11.8,54,2.8,4.8,202.5,11.3,202.5,1024.7,0.0,05/04/23 03:15,BELVS,0
11.8,55,3.0,4.8,202.5,9.7,225.0,1024.7,0.0,05/04/23 03:20,BELVS,0
11.7,55,3.0,4.8,202.5,9.7,225.0,1024.7,0.0,05/04/23 03:25,BELVS,0
11.7,55,2.9,4.8,180.0,8.0,157.5,1024.8,0.0,05/04/23 03:30,BELVS,0
11.7,55,2.9,4.8,202.5,9.7,225.0,1024.7,0.0,05/04/23 03:35,BELVS,0
11.7,54,2.7,4.8,202.5,11.3,202.5,1024.8,0.0,05/04/23 03:40,BELVS,0
11.6,54,2.6,4.8,202.5,8.0,180.0,1024.7,0.0,05/04/23 03:45,BELVS,0
11.6,54,2.6,4.8,202.5,11.3,202.5,1024.7,0.0,05/04/23 03:50,BELVS,0
11.6,54,2.6,4.8,202.5,11.3,180.0,1024.6,0.0,05/04/23 03:55,BELVS,0
11.6,54,2.6,6.4,202.5,11.3,202.5,1024.6,0.0,05/04/23 04:00,BELVS,0
11.6,55,2.8,6.4,202.5,9.7,180.0,1024.6,0.0,05/04/23 04:05,BELVS,0
11.6,54,2.6,4.8,202.5,9.7,202.5,1024.7,0.0,05/04/23 04:10,BELVS,0
11.5,54,2.5,6.4,202.5,11.3,157.5,1024.7,0.0,05/04/23 04:15,BELVS,0
11.5,54,2.5,4.8,202.5,9.7,225.0,1024.6,0.0,05/04/23 04:20,BELVS,0
11.4,54,2.5,4.8,202.5,9.7,180.0,1024.8,0.0,05/04/23 04:25,BELVS,0
11.4,54,2.5,4.8,202.5,9.7,202.5,1024.7,0.0,05/04/23 04:30,BELVS,0
11.4,54,2.5,4.8,202.5,8.0,157.5,1024.7,0.0,05/04/23 04:35,BELVS,0
11.4,54,2.5,4.8,202.5,8.0,157.5,1024.9,0.0,05/04/23 04:40,BELVS,0
11.4,54,2.5,6.4,180.0,9.7,180.0,1024.9,0.0,05/04/23 04:45,BELVS,0
11.4,54,2.5,6.4,202.5,11.3,202.5,1025.0,0.0,05/04/23 04:50,BELVS,0
11.4,54,2.5,4.8,202.5,8.0,180.0,1025.0,0.0,05/04/23 04:55,BELVS,0
11.4,54,2.4,4.8,202.5,9.7,225.0,1024.9,0.0,05/04/23 05:00,BELVS,0
11.3,54,2.3,4.8,202.5,9.7,202.5,1025.0,0.0,05/04/23 05:05,BELVS,0
11.3,54,2.3,4.8,202.5,9.7,180.0,1025.0,0.0,05/04/23 05:10,BELVS,0
11.3,54,2.3,6.4,202.5,11.3,202.5,1025.0,0.0,05/04/23 05:15,BELVS,0
11.2,54,2.2,4.8,202.5,9.7,225.0,1025.1,0.0,05/04/23 05:20,BELVS,0
11.2,55,2.5,4.8,202.5,9.7,225.0,1025.1,0.0,05/04/23 05:25,BELVS,0
11.2,55,2.5,4.8,180.0,11.3,180.0,1025.1,0.0,05/04/23 05:30,BELVS,0
11.1,55,2.4,4.8,202.5,11.3,180.0,1025.2,0.0,05/04/23 05:35,BELVS,0
11.1,55,2.3,6.4,202.5,11.3,247.5,1025.1,0.0,05/04/23 05:40,BELVS,0
11.1,55,2.4,4.8,202.5,9.7,157.5,1025.2,0.0,05/04/23 05:45,BELVS,0
11.2,55,2.5,4.8,202.5,9.7,157.5,1025.2,0.0,05/04/23 05:50,BELVS,0
11.2,55,2.5,4.8,202.5,8.0,225.0,1025.3,0.0,05/04/23 05:55,BELVS,0
11.1,55,2.4,4.8,202.5,9.7,202.5,1025.3,0.0,05/04/23 06:00,BELVS,0
11.2,55,2.5,4.8,202.5,8.0,202.5,1025.3,0.0,05/04/23 06:05,BELVS,0
11.2,55,2.5,4.8,202.5,8.0,180.0,1025.4,0.0,05/04/23 06:10,BELVS,0
