fechaHora,direccionViento,direccionRacha,velocidadViento,velocidadRacha,temperatura,humedadRelativa,presionBar,lluvia,radiacionSolar,idEstacion
01/03/23 13:40:00,222.0,192.0,8.2,19.5,26.6,23,778.0,0,806,ENCB
01/03/23 13:30:00,240.0,224.0,7.2,15.4,26.0,23,778.2,0,865,ENCB
01/03/23 13:20:00,148.0,126.0,7.0,11.4,25.9,23,778.4,0,831,ENCB
01/03/23 13:10:00,179.0,153.0,10.0,18.9,26.0,22,778.5,0,865,ENCB
01/03/23 13:00:00,124.0,85.0,5.7,12.0,26.2,23,778.7,0,780,ENCB
01/03/23 12:50:00,215.0,203.0,6.7,14.3,25.9,23,778.8,0,979,ENCB
01/03/23 12:40:00,224.0,254.0,7.2,11.4,25.4,25,779.0,0,938,ENCB
01/03/23 12:30:00,264.0,184.0,7.0,12.0,24.8,26,779.2,0,901,ENCB
01/03/23 12:20:00,352.0,92.0,8.5,18.3,24.4,27,779.3,0,876,ENCB
01/03/23 12:10:00,69.0,84.0,9.3,17.7,24.4,27,779.5,0,935,ENCB
01/03/23 12:00:00,68.0,86.0,6.8,12.0,24.2,28,779.7,0,901,ENCB
01/03/23 11:50:00,87.0,78.0,6.9,12.5,24.0,29,779.9,0,893,ENCB
01/03/23 11:40:00,21.0,69.0,5.0,11.4,23.5,29,780.0,0,848,ENCB
01/03/23 11:30:00,112.0,133.0,9.6,14.3,23.5,30,780.1,0,893,ENCB
01/03/23 11:20:00,11.0,114.0,5.8,14.3,23.1,31,780.3,0,874,ENCB
01/03/23 11:10:00,75.0,79.0,8.6,14.3,23.3,31,780.4,0,846,ENCB
01/03/23 11:00:00,34.0,13.0,3.9,9.7,22.9,33,780.4,0,783,ENCB
01/03/23 10:50:00,71.0,121.0,6.4,11.4,22.1,34,780.6,0,793,ENCB
01/03/23 10:40:00,119.0,117.0,9.3,14.9,22.0,34,780.7,0,624,ENCB
01/03/23 10:30:00,111.0,77.0,7.8,13.1,22.4,34,780.7,0,719,ENCB
01/03/23 10:20:00,105.0,138.0,4.2,9.7,22.1,35,780.7,0,652,ENCB
01/03/23 10:10:00,15.0,350.0,5.7,10.8,21.3,37,780.7,0,645,ENCB
01/03/23 10:00:00,325.0,27.0,3.9,7.9,21.4,37,780.7,0,571,ENCB
01/03/23 09:50:00,359.0,4.0,4.9,7.4,20.9,38,780.7,0,578,ENCB
01/03/23 09:40:00,211.0,164.0,3.7,7.9,21.2,37,780.8,0,493,ENCB
01/03/23 09:30:00,310.0,19.0,4.3,6.8,20.8,39,780.7,0,507,ENCB
01/03/23 09:20:00,328.0,270.0,3.2,8.5,20.2,41,780.6,0,518,ENCB
01/03/23 09:10:00,326.0,17.0,2.8,4.5,19.9,42,780.5,0,423,ENCB
01/03/23 09:00:00,158.0,184.0,2.7,4.5,20.0,41,780.4,0,375,ENCB
01/03/23 08:50:00,343.0,325.0,2.5,5.1,19.8,42,780.4,0,301,ENCB
01/03/23 08:40:00,218.0,205.0,1.9,3.3,19.7,43,780.3,0,339,ENCB
01/03/23 08:30:00,268.0,301.0,1.8,2.8,19.1,44,780.2,0,323,ENCB
01/03/23 08:20:00,264.0,272.0,3.1,5.1,18.2,46,780.2,0,274,ENCB
01/03/23 08:10:00,288.0,252.0,1.9,3.3,17.5,51,780.1,0,198,ENCB
01/03/23 08:00:00,319.0,336.0,2.3,3.3,17.0,54,780.0,0,182,ENCB
01/03/23 07:50:00,187.0,177.0,1.7,2.8,16.4,55,779.9,0,126,ENCB
01/03/23 07:40:00,149.0,178.0,2.1,4.5,15.7,56,779.9,0,91,ENCB
01/03/23 07:30:00,157.0,177.0,2.6,4.5,15.3,58,779.8,0,59,ENCB
01/03/23 07:20:00,144.0,143.0,3.0,5.6,15.2,58,779.7,0,36,ENCB
01/03/23 07:10:00,185.0,170.0,3.7,5.6,15.3,57,779.7,0,12,ENCB
01/03/23 07:00:00,148.0,148.0,5.9,7.9,15.3,55,779.5,0,1,ENCB
