temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion
14.3,64,7.6,4.8,315.0,12.9,315.0,782.2,0.0,1/12/21 0:10,FERS
14.3,64,7.6,3.2,315.0,8.0,315.0,782.2,0.0,1/12/21 0:20,FERS
14.1,64,7.4,4.8,315.0,9.7,315.0,782.1,0.0,1/12/21 0:30,FERS
13.9,65,7.5,6.4,315.0,9.7,315.0,782.0,0.0,1/12/21 0:40,FERS
13.8,65,7.3,6.4,315.0,9.7,315.0,782.0,0.0,1/12/21 0:50,FERS
13.7,66,7.4,6.4,315.0,9.7,315.0,782.1,0.0,1/12/21 1:00,FERS
13.5,66,7.3,6.4,315.0,9.7,315.0,782.1,0.0,1/12/21 1:10,FERS
13.3,67,7.3,4.8,315.0,8.0,315.0,782.2,0.0,1/12/21 1:20,FERS
13.1,67,7.1,0.0,315.0,6.4,315.0,782.2,0.0,1/12/21 1:30,FERS
12.8,69,7.2,0.0,315.0,3.2,315.0,782.1,0.0,1/12/21 1:40,FERS
12.7,69,7.1,0.0,315.0,3.2,315.0,781.9,0.0,1/12/21 1:50,FERS
12.4,69,6.9,0.0,315.0,3.2,315.0,781.9,0.0,1/12/21 2:00,FERS
12.4,70,7.1,1.6,315.0,6.4,315.0,781.9,0.0,1/12/21 2:10,FERS
12.2,70,6.9,0.0,9999.0,0.0,9999.0,781.9,0.0,1/12/21 2:20,FERS
12.2,71,7.1,3.2,315.0,6.4,315.0,781.8,0.0,1/12/21 2:30,FERS
12.1,70,6.8,4.8,315.0,8.0,315.0,781.9,0.0,1/12/21 2:40,FERS
12.0,70,6.7,1.6,315.0,6.4,315.0,781.8,0.0,1/12/21 2:50,FERS
11.9,71,6.8,1.6,315.0,6.4,315.0,781.8,0.0,1/12/21 3:00,FERS
11.9,70,6.6,0.0,315.0,3.2,315.0,781.7,0.0,1/12/21 3:10,FERS
11.8,70,6.5,0.0,9999.0,0.0,9999.0,781.7,0.0,1/12/21 3:20,FERS
11.6,71,6.5,0.0,9999.0,0.0,9999.0,781.7,0.0,1/12/21 3:30,FERS
11.3,71,6.3,0.0,9999.0,0.0,9999.0,781.7,0.0,1/12/21 3:40,FERS
11.2,72,6.4,0.0,9999.0,0.0,9999.0,781.7,0.0,1/12/21 3:50,FERS
11.2,72,6.3,0.0,9999.0,0.0,9999.0,781.9,0.0,1/12/21 4:00,FERS
11.0,73,6.3,0.0,9999.0,0.0,9999.0,781.9,0.0,1/12/21 4:10,FERS
11.2,73,6.5,0.0,9999.0,0.0,9999.0,781.9,0.0,1/12/21 4:20,FERS
