temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion,radSol
19.6,29,1.1,1.6,270.0,4.8,270.0,1022.0,0.0,05/04/23 00:05,GAM2S,0
19.6,30,1.5,3.2,270.0,4.8,270.0,1021.9,0.0,05/04/23 00:10,GAM2S,0
19.4,29,0.9,3.2,270.0,6.4,270.0,1021.8,0.0,05/04/23 00:15,GAM2S,0
19.4,30,1.4,3.2,270.0,4.8,270.0,1021.8,0.0,05/04/23 00:20,GAM2S,0
19.3,30,1.3,3.2,270.0,4.8,270.0,1021.8,0.0,05/04/23 00:25,GAM2S,0
19.3,30,1.3,3.2,270.0,4.8,270.0,1021.8,0.0,05/04/23 00:30,GAM2S,0
19.3,30,1.3,3.2,270.0,6.4,270.0,1021.8,0.0,05/04/23 00:35,GAM2S,0
19.3,31,1.7,3.2,270.0,4.8,270.0,1021.7,0.0,05/04/23 00:40,GAM2S,0
19.1,31,1.6,3.2,270.0,4.8,270.0,1021.6,0.0,05/04/23 00:50,GAM2S,0
19.1,31,1.5,3.2,270.0,4.8,270.0,1021.5,0.0,05/04/23 00:55,GAM2S,0
19.0,31,1.5,3.2,270.0,4.8,270.0,1021.4,0.0,05/04/23 01:00,GAM2S,0
18.9,31,1.4,3.2,270.0,4.8,270.0,1021.3,0.0,05/04/23 01:05,GAM2S,0
18.8,31,1.3,3.2,270.0,4.8,270.0,1021.3,0.0,05/04/23 01:10,GAM2S,0
18.8,32,1.7,1.6,270.0,4.8,270.0,1021.2,0.0,05/04/23 01:15,GAM2S,0
18.7,32,1.7,1.6,270.0,3.2,270.0,1021.1,0.0,05/04/23 01:20,GAM2S,0
18.5,32,1.5,1.6,270.0,4.8,270.0,1021.2,0.0,05/04/23 01:25,GAM2S,0
18.4,32,1.4,1.6,270.0,3.2,270.0,1021.2,0.0,05/04/23 01:30,GAM2S,0
18.3,33,1.8,1.6,270.0,3.2,270.0,1021.1,0.0,05/04/23 01:35,GAM2S,0
18.2,33,1.7,0.0,270.0,1.6,270.0,1021.0,0.0,05/04/23 01:40,GAM2S,0
18.2,34,2.0,1.6,270.0,3.2,270.0,1021.0,0.0,05/04/23 01:45,GAM2S,0
18.2,33,1.6,3.2,270.0,4.8,270.0,1021.0,0.0,05/04/23 01:50,GAM2S,0
18.2,33,1.7,3.2,270.0,4.8,270.0,1021.1,0.0,05/04/23 01:55,GAM2S,0
18.2,33,1.7,3.2,270.0,4.8,270.0,1021.0,0.0,05/04/23 02:00,GAM2S,0
18.2,33,1.7,1.6,270.0,4.8,270.0,1021.0,0.0,05/04/23 02:05,GAM2S,0
18.2,33,1.6,3.2,270.0,4.8,270.0,1020.9,0.0,05/04/23 02:10,GAM2S,0
18.1,34,1.9,1.6,270.0,3.2,270.0,1021.0,0.0,05/04/23 02:15,GAM2S,0
18.0,34,1.9,1.6,270.0,3.2,270.0,1020.8,0.0,05/04/23 02:20,GAM2S,0
17.9,34,1.8,1.6,270.0,3.2,270.0,1020.8,0.0,05/04/23 02:25,GAM2S,0
