fechaHora,direccionViento,direccionRacha,velocidadViento,velocidadRacha,temperatura,humedadRelativa,presionBar,lluvia,radiacionSolar,idEstacion
01/03/23 13:30:00,196.0,173.0,10.1,16.1,16.1,24,651.6,0,956,ISI
01/03/23 13:20:00,184.0,173.0,9.6,15.3,16.4,24,651.7,0,1000,ISI
01/03/23 13:10:00,219.0,236.0,8.9,16.8,15.7,26,651.8,0,1118,ISI
01/03/23 13:00:00,199.0,206.0,8.9,17.1,16.2,26,652.0,0,1137,ISI
01/03/23 12:50:00,189.0,224.0,9.7,18.1,15.6,28,652.0,0,1070,ISI
01/03/23 12:40:00,197.0,202.0,7.9,13.5,15.4,28,652.1,0,1074,ISI
01/03/23 12:30:00,192.0,192.0,7.7,13.2,15.1,30,652.1,0,1040,ISI
01/03/23 12:20:00,160.0,169.0,8.8,17.6,15.0,31,652.2,0,935,ISI
01/03/23 12:10:00,121.0,121.0,8.0,13.8,14.8,32,652.2,0,1074,ISI
01/03/23 12:00:00,129.0,141.0,9.1,17.7,14.2,33,652.2,0,1039,ISI
01/03/23 11:50:00,131.0,138.0,8.2,14.7,14.5,32,652.3,0,1013,ISI
01/03/23 11:40:00,124.0,125.0,7.1,12.6,14.4,32,652.4,0,993,ISI
01/03/23 11:30:00,133.0,128.0,8.0,14.0,13.7,34,652.4,0,973,ISI
01/03/23 11:20:00,151.0,151.0,7.7,11.6,13.3,34,652.5,0,972,ISI
01/03/23 11:10:00,151.0,151.0,8.4,13.7,12.7,36,652.5,0,929,ISI
01/03/23 11:00:00,153.0,144.0,10.0,15.8,12.5,37,652.5,0,910,ISI
01/03/23 10:50:00,158.0,151.0,8.5,17.1,13.0,37,652.5,0,891,ISI
01/03/23 10:40:00,159.0,159.0,8.3,14.5,12.8,37,652.5,0,852,ISI
01/03/23 10:30:00,159.0,159.0,8.5,16.3,12.7,36,652.4,0,822,ISI
01/03/23 10:20:00,159.0,159.0,6.5,10.4,13.1,35,652.5,0,743,ISI
01/03/23 10:10:00,159.0,158.0,5.5,9.4,12.9,36,652.5,0,733,ISI
01/03/23 10:00:00,159.0,159.0,5.5,9.1,12.5,35,652.5,0,677,ISI
01/03/23 09:50:00,159.0,159.0,6.2,10.8,12.0,34,652.4,0,604,ISI
01/03/23 09:40:00,189.0,160.0,7.2,14.7,11.6,35,652.3,0,649,ISI
01/03/23 09:30:00,196.0,195.0,6.3,10.5,10.9,38,652.3,0,540,ISI
01/03/23 09:20:00,274.0,225.0,7.3,12.4,10.5,38,652.2,0,489,ISI
01/03/23 09:10:00,283.0,283.0,5.9,12.9,10.2,39,652.1,0,445,ISI
01/03/23 09:00:00,282.0,281.0,5.8,10.4,9.9,40,652.0,0,396,ISI
01/03/23 08:50:00,282.0,282.0,5.7,9.6,9.5,41,651.9,0,317,ISI
01/03/23 08:40:00,282.0,282.0,4.7,7.5,9.5,41,651.8,0,278,ISI
01/03/23 08:30:00,282.0,282.0,5.4,8.4,9.7,39,651.8,0,287,ISI
01/03/23 08:20:00,282.0,282.0,4.9,8.1,9.5,39,651.7,0,315,ISI
01/03/23 08:10:00,282.0,282.0,5.2,9.2,8.8,41,651.6,0,284,ISI
01/03/23 08:00:00,282.0,282.0,5.2,8.0,8.0,43,651.4,0,227,ISI
