temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion
18.3,39,4.1,3.2,247.5,8.0,247.5,777.3,0.0,05/04/23 0:10,LEGS
18.2,39,4.0,3.2,247.5,8.0,270.0,777.1,0.0,05/04/23 0:20,LEGS
18.2,39,4.0,4.8,247.5,9.7,247.5,777.0,0.0,05/04/23 0:30,LEGS
18.1,38,3.5,4.8,247.5,9.7,270.0,777.0,0.0,05/04/23 0:40,LEGS
17.9,38,3.4,4.8,270.0,11.3,270.0,777.0,0.0,05/04/23 0:50,LEGS
17.7,38,3.2,6.4,270.0,9.7,270.0,776.8,0.0,05/04/23 1:00,LEGS
17.6,38,3.1,8.0,247.5,11.3,247.5,776.7,0.0,05/04/23 1:10,LEGS
17.4,39,3.3,4.8,247.5,11.3,247.5,776.6,0.0,05/04/23 1:20,LEGS
17.3,39,3.2,6.4,247.5,11.3,247.5,776.6,0.0,05/04/23 1:30,LEGS
17.3,40,3.5,6.4,247.5,11.3,247.5,776.6,0.0,05/04/23 1:40,LEGS
17.2,41,3.8,4.8,247.5,9.7,247.5,776.5,0.0,05/04/23 1:50,LEGS
17.1,42,4.0,0.0,247.5,6.4,247.5,776.4,0.0,05/04/23 2:00,LEGS
17.0,43,4.3,3.2,247.5,9.7,247.5,776.3,0.0,05/04/23 2:10,LEGS
17.0,43,4.3,1.6,247.5,8.0,247.5,776.3,0.0,05/04/23 2:20,LEGS
16.9,44,4.6,0.0,247.5,3.2,247.5,776.2,0.0,05/04/23 2:30,LEGS
16.8,44,4.4,0.0,247.5,1.6,247.5,776.2,0.0,05/04/23 2:40,LEGS
16.7,45,4.7,0.0,247.5,3.2,247.5,776.2,0.0,05/04/23 2:50,LEGS
16.7,46,5.0,1.6,247.5,6.4,247.5,776.2,0.0,05/04/23 3:00,LEGS
16.7,46,5.0,3.2,247.5,8.0,247.5,776.1,0.0,05/04/23 3:10,LEGS
16.6,47,5.2,1.6,247.5,6.4,247.5,776.1,0.0,05/04/23 3:20,LEGS
16.4,49,5.7,1.6,247.5,6.4,247.5,776.1,0.0,05/04/23 3:30,LEGS
16.3,49,5.6,1.6,247.5,6.4,247.5,776.0,0.0,05/04/23 3:40,LEGS
16.2,50,5.8,1.6,247.5,4.8,247.5,776.0,0.0,05/04/23 3:50,LEGS
16.3,51,6.1,1.6,247.5,6.4,247.5,775.9,0.0,05/04/23 4:00,LEGS
16.3,51,6.1,3.2,247.5,8.0,247.5,775.8,0.0,05/04/23 4:10,LEGS
16.3,52,6.4,1.6,247.5,6.4,247.5,775.9,0.0,05/04/23 4:20,LEGS
16.2,52,6.3,0.0,247.5,3.2,247.5,775.9,0.0,05/04/23 4:30,LEGS
15.9,53,6.4,0.0,9999.0,0.0,9999.0,776.1,0.0,05/04/23 4:40,LEGS
15.8,54,6.5,1.6,247.5,8.0,247.5,776.2,0.0,05/04/23 4:50,LEGS
15.7,54,6.4,0.0,247.5,3.2,247.5,776.3,0.0,05/04/23 5:00,LEGS
15.6,55,6.5,0.0,247.5,3.2,247.5,776.4,0.0,05/04/23 5:10,LEGS
15.4,56,6.7,0.0,247.5,3.2,247.5,776.5,0.0,05/04/23 5:20,LEGS
15.3,56,6.6,0.0,247.5,3.2,247.5,776.6,0.0,05/04/23 5:30,LEGS
15.2,57,6.7,0.0,247.5,3.2,247.5,776.6,0.0,05/04/23 5:40,LEGS
15.1,57,6.6,0.0,247.5,3.2,247.5,776.7,0.0,05/04/23 5:50,LEGS
15.2,58,7.0,0.0,247.5,3.2,247.5,776.8,0.0,05/04/23 6:00,LEGS
15.1,58,6.8,0.0,247.5,3.2,247.5,776.9,0.0,05/04/23 6:10,LEGS
15.0,58,6.8,1.6,247.5,3.2,247.5,777.1,0.0,05/04/23 6:20,LEGS
14.8,58,6.6,3.2,247.5,8.0,247.5,777.1,0.0,05/04/23 6:30,LEGS
14.7,58,6.5,3.2,247.5,8.0,247.5,777.2,0.0,05/04/23 6:40,LEGS
14.6,58,6.4,6.4,247.5,9.7,247.5,777.2,0.0,05/04/23 6:50,LEGS
14.7,58,6.5,1.6,247.5,6.4,247.5,777.2,0.0,05/04/23 7:00,LEGS
14.9,57,6.5,3.2,247.5,8.0,247.5,777.4,0.0,05/04/23 7:10,LEGS
15.3,57,6.8,3.2,247.5,6.4,247.5,777.4,0.0,05/04/23 7:20,LEGS
15.7,57,7.2,1.6,247.5,3.2,247.5,777.5,0.0,05/04/23 7:30,LEGS
16.3,56,7.5,0.0,247.5,1.6,247.5,777.6,0.0,05/04/23 7:40,LEGS
16.8,54,7.5,0.0,247.5,1.6,247.5,777.8,0.0,05/04/23 7:50,LEGS
18.0,50,7.4,1.6,247.5,4.8,247.5,777.8,0.0,05/04/23 8:00,LEGS
18.6,47,7.1,3.2,247.5,8.0,247.5,777.8,0.0,05/04/23 8:10,LEGS
18.9,46,7.1,4.8,247.5,11.3,247.5,777.8,0.0,05/04/23 8:20,LEGS
19.3,46,7.4,3.2,135.0,11.3,135.0,777.9,0.0,05/04/23 8:30,LEGS
20.1,44,7.5,0.0,135.0,6.4,135.0,777.9,0.0,05/04/23 8:40,LEGS
20.7,43,7.6,3.2,135.0,9.7,135.0,777.9,0.0,05/04/23 8:50,LEGS
