temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion,radSol
19.6,34,3.3,4.8,135.0,11.3,135.0,1022.4,0.0,05/04/23 00:05,LOMS,0
19.6,33,2.9,4.8,112.5,9.7,112.5,1022.4,0.0,05/04/23 00:10,LOMS,0
19.6,34,3.3,3.2,112.5,6.4,135.0,1022.3,0.0,05/04/23 00:20,LOMS,0
19.4,34,3.1,3.2,112.5,6.4,112.5,1022.2,0.0,05/04/23 00:25,LOMS,0
19.2,34,3.0,3.2,90.0,6.4,112.5,1022.2,0.0,05/04/23 00:30,LOMS,0
19.1,35,3.2,3.2,90.0,6.4,90.0,1022.3,0.0,05/04/23 00:35,LOMS,0
18.9,35,3.1,6.4,112.5,12.9,135.0,1022.2,0.0,05/04/23 00:40,LOMS,0
18.9,33,2.3,9.7,157.5,16.1,157.5,1022.1,0.0,05/04/23 00:45,LOMS,0
19.1,32,2.0,6.4,157.5,12.9,157.5,1022.0,0.0,05/04/23 00:50,LOMS,0
19.2,32,2.1,8.0,135.0,14.5,135.0,1022.0,0.0,05/04/23 00:55,LOMS,0
19.1,33,2.4,8.0,135.0,14.5,135.0,1022.0,0.0,05/04/23 01:00,LOMS,0
19.0,34,2.8,8.0,112.5,14.5,135.0,1021.9,0.0,05/04/23 01:05,LOMS,0
18.9,35,3.1,9.7,157.5,14.5,157.5,1021.8,0.0,05/04/23 01:10,LOMS,0
18.8,35,3.0,9.7,157.5,17.7,157.5,1021.6,0.0,05/04/23 01:15,LOMS,0
18.7,35,2.9,9.7,135.0,16.1,112.5,1021.4,0.0,05/04/23 01:20,LOMS,0
18.7,35,2.9,8.0,157.5,16.1,135.0,1021.5,0.0,05/04/23 01:25,LOMS,0
18.7,35,2.9,11.3,157.5,17.7,157.5,1021.3,0.0,05/04/23 01:30,LOMS,0
18.8,35,3.0,12.9,135.0,19.3,135.0,1021.3,0.0,05/04/23 01:35,LOMS,0
18.8,36,3.4,9.7,135.0,19.3,157.5,1021.3,0.0,05/04/23 01:40,LOMS,0
18.8,36,3.4,11.3,157.5,19.3,157.5,1021.2,0.0,05/04/23 01:45,LOMS,0
18.8,35,3.0,11.3,157.5,20.9,157.5,1021.2,0.0,05/04/23 01:50,LOMS,0
18.8,36,3.4,8.0,202.5,14.5,157.5,1021.3,0.0,05/04/23 01:55,LOMS,0
18.7,36,3.3,3.2,157.5,6.4,225.0,1021.2,0.0,05/04/23 02:05,LOMS,0
18.6,35,2.8,3.2,225.0,6.4,225.0,1021.2,0.0,05/04/23 02:10,LOMS,0
18.6,36,3.2,3.2,270.0,9.7,270.0,1021.2,0.0,05/04/23 02:15,LOMS,0
18.6,36,3.2,1.6,112.5,4.8,315.0,1021.2,0.0,05/04/23 02:20,LOMS,0
18.4,36,3.1,1.6,315.0,4.8,292.5,1021.2,0.0,05/04/23 02:25,LOMS,0
