temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion
14.9,40,1.4,11.3,135.0,16.1,135.0,749.7,0.0,05/04/23 0:10,MPAS
14.9,40,1.4,12.9,135.0,17.7,135.0,749.6,0.0,05/04/23 0:20,MPAS
15.0,39,1.1,11.3,135.0,19.3,135.0,749.6,0.0,05/04/23 0:30,MPAS
15.2,39,1.3,6.4,135.0,16.1,135.0,749.5,0.0,05/04/23 0:40,MPAS
15.3,38,1.1,1.6,135.0,12.9,135.0,749.4,0.0,05/04/23 0:50,MPAS
15.3,37,0.7,6.4,135.0,16.1,135.0,749.4,0.0,05/04/23 1:00,MPAS
15.0,38,0.8,6.4,135.0,14.5,135.0,749.4,0.0,05/04/23 1:10,MPAS
14.9,38,0.7,3.2,135.0,14.5,135.0,749.2,0.0,05/04/23 1:20,MPAS
14.8,38,0.6,0.0,9999.0,0.0,9999.0,749.1,0.0,05/04/23 1:30,MPAS
14.6,38,0.4,0.0,9999.0,0.0,9999.0,749.0,0.0,05/04/23 1:40,MPAS
14.6,37,0.1,1.6,135.0,11.3,135.0,748.9,0.0,05/04/23 1:50,MPAS
14.9,37,0.3,3.2,135.0,11.3,135.0,748.9,0.0,05/04/23 2:00,MPAS
14.7,37,0.2,0.0,135.0,4.8,135.0,748.9,0.0,05/04/23 2:10,MPAS
14.6,38,0.4,0.0,9999.0,0.0,9999.0,748.8,0.0,05/04/23 2:20,MPAS
14.6,39,0.8,0.0,135.0,8.0,135.0,748.7,0.0,05/04/23 2:30,MPAS
14.7,40,1.2,0.0,9999.0,0.0,9999.0,748.6,0.0,05/04/23 2:40,MPAS
14.6,40,1.1,0.0,9999.0,0.0,9999.0,748.6,0.0,05/04/23 2:50,MPAS
14.6,41,1.5,3.2,135.0,12.9,135.0,748.5,0.0,05/04/23 3:00,MPAS
14.4,42,1.6,1.6,135.0,12.9,135.0,748.4,0.0,05/04/23 3:10,MPAS
14.2,42,1.4,0.0,9999.0,0.0,9999.0,748.4,0.0,05/04/23 3:20,MPAS
14.1,42,1.3,0.0,9999.0,0.0,9999.0,748.4,0.0,05/04/23 3:30,MPAS
14.1,42,1.3,0.0,9999.0,0.0,9999.0,748.3,0.0,05/04/23 3:40,MPAS
13.9,42,1.2,0.0,135.0,3.2,135.0,748.3,0.0,05/04/23 3:50,MPAS
13.8,42,1.1,0.0,9999.0,0.0,9999.0,748.3,0.0,05/04/23 4:00,MPAS
13.4,42,0.7,0.0,9999.0,0.0,9999.0,748.3,0.0,05/04/23 4:10,MPAS
13.3,41,0.3,1.6,135.0,12.9,135.0,748.3,0.0,05/04/23 4:20,MPAS
13.8,41,0.7,3.2,135.0,11.3,135.0,748.2,0.0,05/04/23 4:30,MPAS
13.8,41,0.8,3.2,135.0,12.9,135.0,748.3,0.0,05/04/23 4:40,MPAS
13.9,41,0.9,4.8,135.0,12.9,135.0,748.3,0.0,05/04/23 4:50,MPAS
13.9,41,0.9,1.6,135.0,14.5,135.0,748.4,0.0,05/04/23 5:00,MPAS
13.8,41,0.7,0.0,135.0,11.3,135.0,748.5,0.0,05/04/23 5:10,MPAS
13.7,41,0.7,0.0,135.0,3.2,135.0,748.5,0.0,05/04/23 5:20,MPAS
13.8,41,0.8,6.4,135.0,14.5,135.0,748.6,0.0,05/04/23 5:30,MPAS
13.8,41,0.8,1.6,135.0,11.3,135.0,748.6,0.0,05/04/23 5:40,MPAS
13.7,41,0.6,3.2,135.0,12.9,135.0,748.8,0.0,05/04/23 5:50,MPAS
13.8,41,0.7,1.6,135.0,16.1,135.0,748.9,0.0,05/04/23 6:00,MPAS
13.9,41,0.9,3.2,135.0,12.9,135.0,748.9,0.0,05/04/23 6:10,MPAS
13.8,41,0.8,4.8,135.0,12.9,135.0,749.0,0.0,05/04/23 6:20,MPAS
13.5,41,0.5,0.0,135.0,6.4,135.0,749.2,0.0,05/04/23 6:30,MPAS
13.4,41,0.4,6.4,135.0,14.5,135.0,749.3,0.0,05/04/23 6:40,MPAS
13.5,41,0.5,3.2,135.0,11.3,135.0,749.3,0.0,05/04/23 6:50,MPAS
13.3,41,0.3,0.0,135.0,6.4,135.0,749.4,0.0,05/04/23 7:00,MPAS
13.1,41,0.1,0.0,9999.0,0.0,9999.0,749.5,0.0,05/04/23 7:10,MPAS
12.8,41,-0.1,0.0,9999.0,0.0,9999.0,749.5,0.0,05/04/23 7:20,MPAS
13.2,41,0.2,0.0,9999.0,0.0,9999.0,749.5,0.0,05/04/23 7:30,MPAS
14.1,41,1.0,0.0,9999.0,0.0,9999.0,749.6,0.0,05/04/23 7:40,MPAS
16.0,41,2.7,0.0,9999.0,0.0,9999.0,749.8,0.0,05/04/23 7:50,MPAS
17.2,40,3.5,0.0,9999.0,0.0,9999.0,749.9,0.0,05/04/23 8:00,MPAS
18.0,40,4.2,0.0,135.0,4.8,135.0,749.9,0.0,05/04/23 8:10,MPAS
18.1,40,4.3,0.0,9999.0,0.0,9999.0,750.1,0.0,05/04/23 8:20,MPAS
18.3,40,4.5,0.0,9999.0,0.0,9999.0,750.1,0.0,05/04/23 8:30,MPAS
19.1,38,4.4,0.0,9999.0,0.0,9999.0,750.2,0.0,05/04/23 8:40,MPAS
19.2,38,4.5,0.0,9999.0,0.0,9999.0,750.1,0.0,05/04/23 8:50,MPAS
19.7,37,4.6,0.0,9999.0,0.0,9999.0,750.1,0.0,05/04/23 9:00,MPAS
20.0,37,4.9,1.6,135.0,12.9,135.0,750.1,0.0,05/04/23 9:10,MPAS
19.6,37,4.5,3.2,135.0,11.3,135.0,750.0,0.0,05/04/23 9:20,MPAS
19.4,38,4.7,3.2,135.0,11.3,135.0,750.2,0.0,05/04/23 9:30,MPAS
