fechaHora,direccionViento,direccionRacha,velocidadViento,velocidadRacha,temperatura,humedadRelativa,presionBar,lluvia,radiacionSolar,idEstacion
01/03/23 14:30:00,68.0,79.0,7.5,16.5,25.3,17,769.1,0,678,NAU
01/03/23 14:20:00,46.0,81.0,7.3,16.8,24.9,18,769.3,0,723,NAU
01/03/23 14:10:00,59.0,100.0,6.2,11.5,25.1,18,769.5,0,663,NAU
01/03/23 14:00:00,54.0,77.0,4.8,13.7,25.5,18,769.7,0,807,NAU
01/03/23 13:50:00,39.0,106.0,5.4,15.3,25.3,17,769.8,0,731,NAU
01/03/23 13:40:00,19.0,100.0,3.2,10.1,24.9,17,770.0,0,786,NAU
01/03/23 13:30:00,66.0,83.0,5.6,18.8,24.6,17,770.1,0,767,NAU
01/03/23 13:20:00,307.0,126.0,5.7,18.0,24.1,18,770.3,0,849,NAU
01/03/23 13:10:00,72.0,89.0,9.6,21.7,23.7,19,770.5,0,814,NAU
01/03/23 13:00:00,69.0,75.0,11.3,19.8,23.7,18,770.6,0,920,NAU
01/03/23 12:50:00,82.0,82.0,12.3,23.0,23.6,19,770.8,0,738,NAU
01/03/23 12:40:00,66.0,78.0,8.1,14.3,23.4,21,770.9,0,841,NAU
01/03/23 12:30:00,75.0,77.0,10.6,23.3,23.4,21,771.1,0,890,NAU
01/03/23 12:20:00,64.0,95.0,7.8,17.6,23.3,20,771.2,0,883,NAU
01/03/23 12:10:00,71.0,45.0,7.4,17.6,23.1,21,771.4,0,833,NAU
01/03/23 12:00:00,67.0,80.0,8.8,21.0,23.1,21,771.6,0,866,NAU
01/03/23 11:50:00,80.0,74.0,7.3,16.0,23.0,21,771.7,0,871,NAU
01/03/23 11:40:00,338.0,232.0,5.5,10.8,22.7,23,771.9,0,849,NAU
01/03/23 11:30:00,56.0,68.0,5.1,13.1,22.3,23,772.0,0,829,NAU
01/03/23 11:20:00,76.0,69.0,7.4,12.4,22.1,23,772.2,0,824,NAU
01/03/23 11:10:00,74.0,81.0,7.4,15.8,22.0,23,772.3,0,806,NAU
01/03/23 11:00:00,85.0,58.0,6.1,16.0,21.5,24,772.3,0,770,NAU
01/03/23 10:50:00,61.0,81.0,6.9,20.7,21.3,26,772.4,0,745,NAU
01/03/23 10:40:00,81.0,82.0,9.2,15.8,21.2,26,772.5,0,727,NAU
01/03/23 10:30:00,67.0,75.0,5.7,12.4,21.1,26,772.5,0,582,NAU
01/03/23 10:20:00,88.0,93.0,6.4,16.1,20.9,26,772.5,0,681,NAU
01/03/23 10:10:00,68.0,64.0,6.6,14.4,20.9,27,772.6,0,650,NAU
01/03/23 10:00:00,81.0,85.0,7.3,13.5,20.3,28,772.5,0,662,NAU
01/03/23 09:50:00,85.0,71.0,6.1,11.7,19.9,30,772.5,0,454,NAU
01/03/23 09:40:00,80.0,97.0,6.3,11.4,19.8,30,772.5,0,536,NAU
01/03/23 09:30:00,89.0,82.0,4.1,9.0,19.2,30,772.5,0,492,NAU
01/03/23 09:20:00,94.0,84.0,4.1,9.1,18.6,31,772.5,0,372,NAU
01/03/23 09:10:00,80.0,78.0,4.4,8.7,18.6,34,772.4,0,350,NAU
01/03/23 09:00:00,91.0,74.0,2.2,3.8,18.5,33,772.3,0,336,NAU
01/03/23 08:50:00,197.0,306.0,0.9,2.6,17.2,34,772.3,0,362,NAU
01/03/23 08:40:00,293.0,283.0,2.5,4.5,15.5,36,772.2,0,309,NAU
01/03/23 08:30:00,271.0,278.0,3.2,5.1,14.2,40,772.2,0,284,NAU
01/03/23 08:20:00,303.0,285.0,4.0,6.8,12.6,49,772.2,0,233,NAU
01/03/23 08:10:00,312.0,308.0,4.4,8.4,10.9,56,772.1,0,186,NAU
01/03/23 08:00:00,288.0,264.0,6.5,11.3,10.0,55,772.0,0,128,NAU
01/03/23 07:50:00,303.0,294.0,5.8,9.3,9.4,62,771.9,0,93,NAU
01/03/23 07:40:00,300.0,303.0,7.0,10.0,9.0,65,771.8,0,77,NAU
01/03/23 07:30:00,302.0,305.0,5.7,8.9,8.9,66,771.8,0,43,NAU
01/03/23 07:20:00,300.0,296.0,4.8,8.8,8.8,68,771.7,0,23,NAU
01/03/23 07:10:00,291.0,300.0,3.2,5.3,8.9,66,771.6,0,9,NAU
01/03/23 07:00:00,288.0,327.0,4.6,8.0,9.1,66,771.6,0,0,NAU
01/03/23 06:50:00,302.0,304.0,2.5,4.8,9.3,65,771.4,0,0,NAU
01/03/23 06:40:00,297.0,303.0,5.4,8.4,9.3,65,771.3,0,0,NAU
01/03/23 06:30:00,296.0,299.0,5.2,9.2,9.3,63,771.2,0,0,NAU
01/03/23 06:20:00,303.0,311.0,6.6,10.3,9.3,61,771.1,0,0,NAU
01/03/23 06:10:00,312.0,326.0,4.8,11.4,9.5,64,771.0,0,0,NAU
01/03/23 06:00:00,307.0,317.0,5.6,12.0,9.6,63,770.9,0,0,NAU
01/03/23 05:50:00,307.0,304.0,5.2,9.6,9.7,62,770.8,0,0,NAU
01/03/23 05:40:00,309.0,303.0,7.9,14.4,9.9,60,770.7,0,0,NAU
01/03/23 05:30:00,312.0,299.0,6.6,16.0,10.0,61,770.6,0,0,NAU
01/03/23 05:20:00,305.0,304.0,7.0,13.9,9.9,61,770.6,0,0,NAU
01/03/23 05:10:00,304.0,300.0,6.2,13.9,10.1,59,770.5,0,0,NAU
01/03/23 05:00:00,294.0,320.0,5.5,10.2,10.2,55,770.4,0,0,NAU
