idEstacion,lluvia,fechaHora
AJUSCO,0,22/03/23,14:48
AMC,0,22/03/23,14:48
BALBUENA,0,22/03/23,14:48
BONDOJITO,0,22/03/23,14:48
BOSQUEREAL,0,22/03/23,14:48
CCHOTE,0,22/03/23,14:48
CCHVALLEJO,0,22/03/23,14:48
CENTENARIO,0,22/03/23,14:48
CUAJIMALPA,0,22/03/23,14:48
CUAUHTENCO,0,22/03/23,14:48
CUAUTEPEC,0,22/03/23,14:48
CULHUACAN,0,22/03/23,14:48
HERRADURA,0,22/03/23,14:48
INDIOSVER,0,22/03/23,14:48
MEXICALTZI,0,22/03/23,14:48
MEYEHUALCO,0,22/03/23,14:48
MILPAALTA,0,22/03/23,14:48
NAUCALPAN,0,22/03/23,14:48
NOPALERA,0,22/03/23,14:48
PADIERNA,0,22/03/23,14:48
PANTITLAN,0,22/03/23,14:48
PREPA5,0,22/03/23,14:48
SANBARTOLO,0,22/03/23,14:48
SANBERNABE,0,22/03/23,14:48
SGREGORIO,0,22/03/23,14:48
TACUBA,0,22/03/23,14:48
TAXQUENA,0,22/03/23,14:48
UAMAZC,0,22/03/23,14:48
XOCHIMILCO,0,22/03/23,14:48
