fechaHora,direccionViento,direccionRacha,velocidadViento,velocidadRacha,temperatura,humedadRelativa,presionBar,lluvia,radiacionSolar,idEstacion
06/04/23 15:30:00,55.0,98.0,5.9,17.1,26.7,15,766.9,0,454,NAU
06/04/23 15:20:00,49.0,80.0,6.9,22.6,27.2,14,766.9,0,413,NAU
06/04/23 15:10:00,50.0,141.0,6.0,20.8,27.3,13,767.1,0,858,NAU
06/04/23 15:00:00,64.0,55.0,8.1,21.9,26.8,13,767.2,0,637,NAU
06/04/23 14:50:00,75.0,81.0,8.3,20.4,26.0,14,767.3,0,819,NAU
06/04/23 14:40:00,77.0,60.0,9.4,26.4,26.0,18,767.5,0,382,NAU
06/04/23 13:30:00,71.0,75.0,9.3,18.9,24.2,29,768.8,0,670,NAU
06/04/23 13:20:00,76.0,66.0,7.7,21.6,24.2,29,768.9,0,357,NAU
06/04/23 13:10:00,76.0,57.0,7.5,25.5,24.8,29,769.0,0,360,NAU
06/04/23 13:00:00,74.0,135.0,10.0,22.5,24.6,28,769.2,0,674,NAU
06/04/23 12:50:00,77.0,76.0,8.5,23.4,25.0,28,769.4,0,1027,NAU
06/04/23 12:40:00,77.0,82.0,8.2,20.7,24.4,29,769.5,0,1024,NAU
06/04/23 11:30:00,68.0,75.0,10.4,19.0,22.5,40,770.7,0,964,NAU
06/04/23 11:20:00,90.0,155.0,7.8,19.6,22.3,40,770.8,0,953,NAU
06/04/23 11:10:00,65.0,96.0,7.6,18.4,21.9,41,770.9,0,922,NAU
06/04/23 11:00:00,59.0,47.0,5.4,11.3,21.3,45,771.0,0,908,NAU
06/04/23 10:50:00,70.0,80.0,10.5,16.8,21.2,46,771.1,0,886,NAU
06/04/23 10:40:00,71.0,109.0,7.1,16.2,20.7,48,771.2,0,866,NAU
06/04/23 09:30:00,77.0,68.0,6.4,11.7,19.4,56,771.7,0,640,NAU
06/04/23 09:20:00,64.0,124.0,3.4,9.0,19.3,58,771.7,0,596,NAU
