temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion
18.9,32,1.8,0.0,157.5,1.6,157.5,777.8,0.0,05/04/23 00:10,SGIRPC
18.8,32,1.7,0.0,157.5,4.8,157.5,777.8,0.0,05/04/23 00:20,SGIRPC
18.6,32,1.6,1.6,270.0,6.4,247.5,777.6,0.0,05/04/23 00:30,SGIRPC
18.5,33,1.9,1.6,270.0,4.8,270.0,777.6,0.0,05/04/23 00:40,SGIRPC
18.3,33,1.8,3.2,270.0,6.4,270.0,777.4,0.0,05/04/23 00:50,SGIRPC
18.2,34,2.1,3.2,270.0,6.4,270.0,777.3,0.0,05/04/23 01:00,SGIRPC
18.2,34,2.0,0.0,247.5,3.2,247.5,777.3,0.0,05/04/23 01:10,SGIRPC
18.2,35,2.5,0.0,247.5,3.2,247.5,777.3,0.0,05/04/23 01:20,SGIRPC
18.2,36,2.8,0.0,9999.0,0.0,9999.0,777.1,0.0,05/04/23 01:30,SGIRPC
18.1,36,2.8,0.0,247.5,1.6,247.5,777.2,0.0,05/04/23 01:40,SGIRPC
17.9,37,3.0,0.0,247.5,3.2,247.5,777.1,0.0,05/04/23 01:50,SGIRPC
17.8,37,2.9,3.2,202.5,8.0,157.5,777.1,0.0,05/04/23 02:00,SGIRPC
17.7,37,2.8,1.6,180.0,6.4,180.0,777.0,0.0,05/04/23 02:10,SGIRPC
17.6,37,2.7,1.6,202.5,6.4,180.0,776.9,0.0,05/04/23 02:20,SGIRPC
17.6,38,3.1,0.0,202.5,3.2,202.5,776.8,0.0,05/04/23 02:30,SGIRPC
17.4,39,3.3,1.6,202.5,3.2,202.5,776.7,0.0,05/04/23 02:40,SGIRPC
17.3,40,3.6,0.0,202.5,1.6,202.5,776.6,0.0,05/04/23 02:50,SGIRPC
17.3,41,3.9,0.0,202.5,1.6,202.5,776.5,0.0,05/04/23 03:00,SGIRPC
17.2,43,4.5,0.0,202.5,1.6,202.5,776.5,0.0,05/04/23 03:10,SGIRPC
17.1,45,5.0,1.6,202.5,3.2,202.5,776.4,0.0,05/04/23 03:20,SGIRPC
16.9,46,5.2,0.0,202.5,3.2,202.5,776.3,0.0,05/04/23 03:30,SGIRPC
16.9,47,5.5,0.0,9999.0,0.0,9999.0,776.3,0.0,05/04/23 03:40,SGIRPC
16.8,47,5.4,0.0,9999.0,0.0,9999.0,776.3,0.0,05/04/23 03:50,SGIRPC
16.7,48,5.6,0.0,9999.0,0.0,9999.0,776.3,0.0,05/04/23 04:00,SGIRPC
16.7,48,5.6,0.0,9999.0,0.0,9999.0,776.4,0.0,05/04/23 04:10,SGIRPC
16.6,48,5.5,0.0,9999.0,0.0,9999.0,776.4,0.0,05/04/23 04:20,SGIRPC
16.5,49,5.7,0.0,9999.0,0.0,9999.0,776.5,0.0,05/04/23 04:30,SGIRPC
