temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion,radSol
18.0,26,-1.8,3.2,247.5,6.4,247.5,1023.0,0.0,05/04/23 00:05,SJEROS,0
18.1,27,-1.3,1.6,247.5,4.8,247.5,1023.0,0.0,05/04/23 00:10,SJEROS,0
18.0,27,-1.3,3.2,247.5,4.8,247.5,1022.9,0.0,05/04/23 00:15,SJEROS,0
17.9,28,-0.8,1.6,270.0,3.2,270.0,1023.0,0.0,05/04/23 00:20,SJEROS,0
17.9,28,-0.9,3.2,247.5,4.8,247.5,1022.9,0.0,05/04/23 00:25,SJEROS,0
17.8,28,-0.9,1.6,225.0,6.4,247.5,1022.8,0.0,05/04/23 00:30,SJEROS,0
17.8,28,-0.9,1.6,225.0,6.4,247.5,1022.7,0.0,05/04/23 00:35,SJEROS,0
17.8,29,-0.5,3.2,247.5,6.4,247.5,1022.8,0.0,05/04/23 00:40,SJEROS,0
17.8,30,-0.0,1.6,247.5,6.4,247.5,1022.7,0.0,05/04/23 00:45,SJEROS,0
17.8,30,0.0,1.6,225.0,4.8,225.0,1022.6,0.0,05/04/23 00:50,SJEROS,0
17.8,31,0.4,3.2,225.0,4.8,225.0,1022.6,0.0,05/04/23 00:55,SJEROS,0
17.7,32,0.8,1.6,225.0,4.8,202.5,1022.5,0.0,05/04/23 01:00,SJEROS,0
17.7,33,1.2,1.6,225.0,4.8,202.5,1022.4,0.0,05/04/23 01:05,SJEROS,0
17.7,33,1.2,1.6,225.0,4.8,247.5,1022.3,0.0,05/04/23 01:10,SJEROS,0
17.7,34,1.6,1.6,247.5,4.8,225.0,1022.3,0.0,05/04/23 01:15,SJEROS,0
17.6,35,2.0,1.6,202.5,3.2,225.0,1022.3,0.0,05/04/23 01:20,SJEROS,0
17.6,35,1.9,1.6,247.5,6.4,247.5,1022.2,0.0,05/04/23 01:25,SJEROS,0
17.6,35,1.9,1.6,225.0,4.8,225.0,1022.3,0.0,05/04/23 01:30,SJEROS,0
17.4,36,2.2,3.2,225.0,6.4,247.5,1022.1,0.0,05/04/23 01:35,SJEROS,0
17.4,36,2.2,1.6,202.5,4.8,225.0,1022.2,0.0,05/04/23 01:40,SJEROS,0
17.4,37,2.5,0.0,202.5,1.6,202.5,1022.3,0.0,05/04/23 01:45,SJEROS,0
17.2,38,2.8,0.0,292.5,1.6,292.5,1022.3,0.0,05/04/23 01:50,SJEROS,0
17.0,39,2.9,0.0,9999.0,0.0,9999.0,1022.2,0.0,05/04/23 01:55,SJEROS,0
16.8,39,2.7,0.0,9999.0,0.0,9999.0,1022.2,0.0,05/04/23 02:00,SJEROS,0
16.6,40,2.9,0.0,202.5,1.6,292.5,1022.2,0.0,05/04/23 02:05,SJEROS,0
