temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion,radSol
15.1,33,-1.1,1.6,270.0,3.2,270.0,1025.8,0.0,05/04/23 00:05,STFS,0
15.2,33,-1.0,0.0,270.0,1.6,270.0,1026.0,0.0,05/04/23 00:10,STFS,0
15.2,33,-1.0,0.0,9999.0,0.0,9999.0,1025.8,0.0,05/04/23 00:15,STFS,0
15.2,34,-0.6,0.0,9999.0,0.0,9999.0,1025.8,0.0,05/04/23 00:20,STFS,0
15.1,35,-0.3,0.0,9999.0,0.0,9999.0,1025.7,0.0,05/04/23 00:25,STFS,0
15.2,35,-0.2,0.0,9999.0,0.0,9999.0,1025.7,0.0,05/04/23 00:30,STFS,0
15.3,36,0.3,0.0,9999.0,0.0,9999.0,1025.7,0.0,05/04/23 00:35,STFS,0
15.2,37,0.6,0.0,9999.0,0.0,9999.0,1025.6,0.0,05/04/23 00:40,STFS,0
15.1,37,0.5,0.0,9999.0,0.0,9999.0,1025.6,0.0,05/04/23 00:45,STFS,0
15.1,38,0.9,0.0,9999.0,0.0,9999.0,1025.5,0.0,05/04/23 00:50,STFS,0
15.1,39,1.2,0.0,9999.0,0.0,9999.0,1025.4,0.0,05/04/23 00:55,STFS,0
15.0,39,1.1,0.0,9999.0,0.0,9999.0,1025.2,0.0,05/04/23 01:00,STFS,0
14.9,40,1.4,0.0,9999.0,0.0,9999.0,1025.2,0.0,05/04/23 01:05,STFS,0
14.8,41,1.7,0.0,9999.0,0.0,9999.0,1025.2,0.0,05/04/23 01:10,STFS,0
14.7,43,2.2,1.6,247.5,4.8,247.5,1025.1,0.0,05/04/23 01:15,STFS,0
14.7,43,2.2,0.0,247.5,3.2,247.5,1025.0,0.0,05/04/23 01:20,STFS,0
14.7,43,2.3,1.6,247.5,3.2,247.5,1025.1,0.0,05/04/23 01:25,STFS,0
14.8,43,2.3,0.0,9999.0,0.0,9999.0,1025.0,0.0,05/04/23 01:30,STFS,0
14.8,44,2.6,0.0,9999.0,0.0,9999.0,1025.0,0.0,05/04/23 01:35,STFS,0
14.7,44,2.5,0.0,9999.0,0.0,9999.0,1024.9,0.0,05/04/23 01:40,STFS,0
14.6,45,2.8,1.6,247.5,4.8,247.5,1024.8,0.0,05/04/23 01:45,STFS,0
14.7,45,2.8,1.6,270.0,6.4,270.0,1024.8,0.0,05/04/23 01:50,STFS,0
14.7,45,2.9,0.0,9999.0,0.0,9999.0,1024.9,0.0,05/04/23 01:55,STFS,0
14.6,46,3.1,0.0,157.5,3.2,135.0,1024.8,0.0,05/04/23 02:00,STFS,0
14.4,47,3.3,1.6,157.5,3.2,157.5,1024.7,0.0,05/04/23 02:05,STFS,0
14.4,47,3.2,1.6,157.5,3.2,157.5,1024.6,0.0,05/04/23 02:10,STFS,0
14.3,47,3.2,0.0,157.5,1.6,157.5,1024.6,0.0,05/04/23 02:15,STFS,0
14.3,48,3.5,0.0,157.5,1.6,157.5,1024.5,0.0,05/04/23 02:20,STFS,0
14.2,49,3.6,1.6,247.5,3.2,247.5,1024.5,0.0,05/04/23 02:25,STFS,0
14.2,49,3.6,0.0,225.0,3.2,225.0,1024.4,0.0,05/04/23 02:30,STFS,0
14.1,49,3.5,0.0,270.0,4.8,270.0,1024.3,0.0,05/04/23 02:35,STFS,0
14.3,49,3.8,3.2,270.0,4.8,292.5,1024.3,0.0,05/04/23 02:40,STFS,0
14.5,48,3.6,1.6,247.5,4.8,270.0,1024.4,0.0,05/04/23 02:45,STFS,0
14.6,48,3.7,1.6,270.0,4.8,270.0,1024.4,0.0,05/04/23 02:50,STFS,0
14.6,48,3.7,3.2,270.0,4.8,270.0,1024.3,0.0,05/04/23 02:55,STFS,0
14.7,48,3.8,1.6,270.0,4.8,270.0,1024.3,0.0,05/04/23 03:00,STFS,0
14.7,48,3.8,3.2,270.0,4.8,247.5,1024.3,0.0,05/04/23 03:05,STFS,0
14.7,49,4.1,1.6,270.0,4.8,270.0,1024.1,0.0,05/04/23 03:10,STFS,0
14.6,49,4.0,1.6,270.0,3.2,270.0,1024.0,0.0,05/04/23 03:15,STFS,0
14.5,50,4.2,1.6,292.5,4.8,270.0,1024.1,0.0,05/04/23 03:20,STFS,0
14.4,50,4.1,3.2,270.0,4.8,270.0,1024.1,0.0,05/04/23 03:25,STFS,0
14.4,50,4.1,3.2,270.0,6.4,247.5,1024.0,0.0,05/04/23 03:30,STFS,0
14.4,50,4.1,4.8,270.0,6.4,270.0,1023.8,0.0,05/04/23 03:35,STFS,0
14.4,50,4.1,3.2,270.0,8.0,247.5,1023.7,0.0,05/04/23 03:40,STFS,0
14.5,50,4.2,4.8,270.0,9.7,270.0,1023.8,0.0,05/04/23 03:45,STFS,0
14.6,50,4.2,3.2,270.0,8.0,247.5,1023.7,0.0,05/04/23 03:50,STFS,0
14.6,50,4.2,3.2,270.0,6.4,292.5,1023.6,0.0,05/04/23 03:55,STFS,0
14.5,50,4.2,1.6,292.5,4.8,247.5,1023.6,0.0,05/04/23 04:00,STFS,0
14.4,51,4.4,3.2,270.0,4.8,270.0,1023.6,0.0,05/04/23 04:05,STFS,0
14.3,51,4.3,1.6,270.0,4.8,270.0,1023.6,0.0,05/04/23 04:10,STFS,0
14.2,52,4.4,1.6,270.0,3.2,270.0,1023.7,0.0,05/04/23 04:15,STFS,0
14.1,52,4.3,0.0,270.0,1.6,270.0,1023.9,0.0,05/04/23 04:20,STFS,0
13.8,53,4.4,0.0,9999.0,0.0,9999.0,1023.7,0.0,05/04/23 04:25,STFS,0
13.6,52,3.9,0.0,9999.0,0.0,9999.0,1023.7,0.0,05/04/23 04:30,STFS,0
13.4,52,3.7,0.0,270.0,1.6,270.0,1023.7,0.0,05/04/23 04:35,STFS,0
13.3,53,3.9,0.0,270.0,3.2,270.0,1023.8,0.0,05/04/23 04:40,STFS,0
13.3,53,3.9,0.0,270.0,1.6,270.0,1023.8,0.0,05/04/23 04:45,STFS,0
13.3,53,3.9,0.0,9999.0,0.0,9999.0,1023.9,0.0,05/04/23 04:50,STFS,0
13.1,54,4.0,0.0,270.0,1.6,270.0,1024.0,0.0,05/04/23 04:55,STFS,0
13.1,53,3.7,0.0,270.0,1.6,270.0,1024.0,0.0,05/04/23 05:00,STFS,0
13.1,53,3.7,0.0,9999.0,0.0,9999.0,1024.0,0.0,05/04/23 05:05,STFS,0
12.9,53,3.6,0.0,270.0,1.6,270.0,1024.0,0.0,05/04/23 05:10,STFS,0
12.8,54,3.7,0.0,9999.0,0.0,9999.0,1024.0,0.0,05/04/23 05:15,STFS,0
12.8,53,3.5,0.0,225.0,4.8,225.0,1024.0,0.0,05/04/23 05:20,STFS,0
12.9,53,3.6,0.0,202.5,1.6,202.5,1024.0,0.0,05/04/23 05:25,STFS,0
12.9,53,3.6,1.6,112.5,4.8,90.0,1024.1,0.0,05/04/23 05:30,STFS,0
13.0,53,3.6,1.6,112.5,3.2,135.0,1024.1,0.0,05/04/23 05:35,STFS,0
13.1,53,3.7,0.0,9999.0,0.0,9999.0,1024.2,0.0,05/04/23 05:40,STFS,0
12.9,53,3.6,0.0,112.5,1.6,112.5,1024.3,0.0,05/04/23 05:45,STFS,0
12.9,53,3.5,0.0,225.0,3.2,225.0,1024.3,0.0,05/04/23 05:50,STFS,0
13.0,53,3.6,0.0,9999.0,0.0,9999.0,1024.4,0.0,05/04/23 05:55,STFS,0
12.9,53,3.6,0.0,9999.0,0.0,9999.0,1024.5,0.0,05/04/23 06:00,STFS,0
12.9,53,3.6,0.0,9999.0,0.0,9999.0,1024.6,0.0,05/04/23 06:05,STFS,0
12.9,54,3.8,0.0,9999.0,0.0,9999.0,1024.6,0.0,05/04/23 06:10,STFS,0
12.9,53,3.5,0.0,9999.0,0.0,9999.0,1024.7,0.0,05/04/23 06:15,STFS,0
12.9,54,3.8,0.0,9999.0,0.0,9999.0,1024.7,0.0,05/04/23 06:20,STFS,0
12.9,54,3.8,0.0,9999.0,0.0,9999.0,1024.9,0.0,05/04/23 06:25,STFS,0
12.9,53,3.6,0.0,9999.0,0.0,9999.0,1024.8,0.0,05/04/23 06:30,STFS,0
12.9,54,3.8,0.0,9999.0,0.0,9999.0,1024.8,0.0,05/04/23 06:35,STFS,3
12.9,54,3.8,0.0,247.5,3.2,247.5,1024.9,0.0,05/04/23 06:40,STFS,8
12.9,54,3.8,0.0,247.5,1.6,247.5,1024.9,0.0,05/04/23 06:45,STFS,11
12.8,54,3.7,0.0,247.5,1.6,247.5,1024.9,0.0,05/04/23 06:50,STFS,15
12.7,54,3.6,0.0,9999.0,0.0,9999.0,1024.9,0.0,05/04/23 06:55,STFS,19
12.6,55,3.8,0.0,9999.0,0.0,9999.0,1025.0,0.0,05/04/23 07:00,STFS,23
12.7,55,3.9,0.0,9999.0,0.0,9999.0,1025.0,0.0,05/04/23 07:05,STFS,28
12.7,54,3.6,0.0,9999.0,0.0,9999.0,1025.0,0.0,05/04/23 07:10,STFS,35
12.8,53,3.5,0.0,9999.0,0.0,9999.0,1025.1,0.0,05/04/23 07:15,STFS,42
13.0,53,3.6,0.0,9999.0,0.0,9999.0,1025.1,0.0,05/04/23 07:20,STFS,49
13.2,53,3.8,0.0,9999.0,0.0,9999.0,1025.2,0.0,05/04/23 07:25,STFS,58
13.5,53,4.1,0.0,9999.0,0.0,9999.0,1025.3,0.0,05/04/23 07:30,STFS,109
14.1,52,4.3,0.0,9999.0,0.0,9999.0,1025.6,0.0,05/04/23 07:35,STFS,126
