temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion
14.7,46,3.2,0.0,360.0,3.2,360.0,777.9,0.0,05/04/23 0:10,SURS
14.3,46,2.9,0.0,9999.0,0.0,9999.0,777.8,0.0,05/04/23 0:20,SURS
13.8,48,3.0,0.0,9999.0,0.0,9999.0,777.8,0.0,05/04/23 0:30,SURS
13.7,50,3.5,0.0,9999.0,0.0,9999.0,777.7,0.0,05/04/23 0:40,SURS
13.5,50,3.3,0.0,9999.0,0.0,9999.0,777.6,0.0,05/04/23 0:50,SURS
13.3,53,3.9,0.0,9999.0,0.0,9999.0,777.6,0.0,05/04/23 1:00,SURS
13.0,54,3.9,0.0,9999.0,0.0,9999.0,777.5,0.0,05/04/23 1:10,SURS
12.9,55,4.1,0.0,9999.0,0.0,9999.0,777.6,0.0,05/04/23 1:20,SURS
13.3,54,4.2,0.0,360.0,1.6,360.0,777.5,0.0,05/04/23 1:30,SURS
13.4,54,4.3,0.0,360.0,3.2,360.0,777.4,0.0,05/04/23 1:40,SURS
13.7,55,4.8,0.0,360.0,3.2,360.0,777.4,0.0,05/04/23 1:50,SURS
13.7,54,4.6,0.0,9999.0,0.0,9999.0,777.4,0.0,05/04/23 2:00,SURS
13.7,53,4.3,1.6,360.0,3.2,360.0,777.5,0.0,05/04/23 2:10,SURS
13.8,53,4.4,1.6,360.0,3.2,360.0,777.5,0.0,05/04/23 2:20,SURS
13.7,52,4.0,1.6,360.0,4.8,360.0,777.5,0.0,05/04/23 2:30,SURS
13.6,52,3.9,0.0,360.0,3.2,360.0,777.6,0.0,05/04/23 2:40,SURS
13.4,52,3.7,0.0,360.0,1.6,360.0,777.6,0.0,05/04/23 2:50,SURS
13.2,53,3.8,1.6,360.0,4.8,360.0,777.8,0.0,05/04/23 3:00,SURS
13.1,53,3.7,0.0,360.0,3.2,360.0,777.9,0.0,05/04/23 3:10,SURS
13.0,54,3.9,0.0,360.0,1.6,360.0,777.9,0.0,05/04/23 3:20,SURS
12.8,56,4.2,0.0,360.0,1.6,360.0,778.0,0.0,05/04/23 3:30,SURS
12.7,56,4.1,0.0,9999.0,0.0,9999.0,778.1,0.0,05/04/23 3:40,SURS
12.6,57,4.3,0.0,360.0,1.6,360.0,778.0,0.0,05/04/23 3:50,SURS
12.3,57,4.0,0.0,9999.0,0.0,9999.0,778.2,0.0,05/04/23 4:00,SURS
11.9,58,3.9,0.0,9999.0,0.0,9999.0,778.3,0.0,05/04/23 4:10,SURS
12.0,59,4.2,0.0,360.0,3.2,360.0,778.4,0.0,05/04/23 4:20,SURS
12.1,59,4.3,0.0,360.0,1.6,360.0,778.5,0.0,05/04/23 4:30,SURS
12.3,59,4.5,0.0,9999.0,0.0,9999.0,778.6,0.0,05/04/23 4:40,SURS
12.3,59,4.5,0.0,9999.0,0.0,9999.0,778.6,0.0,05/04/23 4:50,SURS
12.6,59,4.8,0.0,9999.0,0.0,9999.0,778.6,0.0,05/04/23 5:00,SURS
13.1,57,4.8,0.0,9999.0,0.0,9999.0,778.7,0.0,05/04/23 5:10,SURS
13.7,57,5.3,0.0,9999.0,0.0,9999.0,778.8,0.0,05/04/23 5:20,SURS
14.2,56,5.6,0.0,360.0,1.6,360.0,778.9,0.0,05/04/23 5:30,SURS
15.1,53,5.6,0.0,360.0,1.6,360.0,778.9,0.0,05/04/23 5:40,SURS
16.6,50,6.1,0.0,360.0,1.6,360.0,779.1,0.0,05/04/23 5:50,SURS
17.8,47,6.4,0.0,360.0,3.2,360.0,779.2,0.0,05/04/23 6:00,SURS
18.3,45,6.2,1.6,360.0,4.8,360.0,779.2,0.0,05/04/23 6:10,SURS
18.7,44,6.2,1.6,360.0,4.8,360.0,779.3,0.0,05/04/23 6:20,SURS
18.9,44,6.4,3.2,360.0,6.4,360.0,779.3,0.0,05/04/23 6:30,SURS
19.1,43,6.2,3.2,360.0,6.4,360.0,779.4,0.0,05/04/23 6:40,SURS
19.4,43,6.5,1.6,360.0,6.4,360.0,779.3,0.0,05/04/23 6:50,SURS
19.7,42,6.4,3.2,360.0,6.4,360.0,779.3,0.0,05/04/23 7:00,SURS
20.0,40,6.0,3.2,360.0,6.4,360.0,779.2,0.0,05/04/23 7:10,SURS
20.2,40,6.1,3.2,360.0,8.0,360.0,779.4,0.0,05/04/23 7:20,SURS
20.8,38,5.9,1.6,360.0,4.8,360.0,779.2,0.0,05/04/23 7:30,SURS
21.5,39,7.0,3.2,360.0,6.4,360.0,779.1,0.0,05/04/23 7:40,SURS
21.4,37,6.1,4.8,360.0,9.7,360.0,779.1,0.0,05/04/23 7:50,SURS
21.5,37,6.2,3.2,360.0,9.7,360.0,779.0,0.0,05/04/23 8:00,SURS
22.2,36,6.4,3.2,67.5,9.7,67.5,778.8,0.0,05/04/23 8:10,SURS
22.6,34,5.9,4.8,67.5,9.7,67.5,778.8,0.0,05/04/23 8:20,SURS
23.0,33,5.9,4.8,67.5,12.9,67.5,778.9,0.0,05/04/23 8:30,SURS
23.1,33,5.9,4.8,67.5,12.9,67.5,778.7,0.0,05/04/23 8:40,SURS
23.2,32,5.6,6.4,45.0,17.7,45.0,778.6,0.0,05/04/23 8:50,SURS
23.7,31,5.5,4.8,45.0,14.5,45.0,778.6,0.0,05/04/23 9:00,SURS
23.6,31,5.4,6.4,45.0,12.9,45.0,778.4,0.0,05/04/23 9:10,SURS
23.8,31,5.7,4.8,45.0,14.5,45.0,778.5,0.0,05/04/23 9:20,SURS
24.2,30,5.5,6.4,45.0,12.9,45.0,778.3,0.0,05/04/23 9:30,SURS
24.5,30,5.8,4.8,45.0,9.7,45.0,778.1,0.0,05/04/23 9:40,SURS
24.8,29,5.5,4.8,45.0,11.3,45.0,778.0,0.0,05/04/23 9:50,SURS
25.1,30,6.3,3.2,45.0,8.0,45.0,777.9,0.0,05/04/23 10:00,SURS
26.0,28,6.1,3.2,45.0,9.7,45.0,777.7,0.0,05/04/23 10:10,SURS
26.3,27,5.8,4.8,45.0,12.9,45.0,777.5,0.0,05/04/23 10:20,SURS
26.7,25,5.0,6.4,45.0,16.1,45.0,777.2,0.0,05/04/23 10:30,SURS
26.7,25,5.0,4.8,67.5,11.3,67.5,777.1,0.0,05/04/23 10:40,SURS
26.7,25,5.0,4.8,67.5,11.3,67.5,776.9,0.0,05/04/23 10:50,SURS
