temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion,radSol
17.6,35,2.0,4.8,112.5,6.4,135.0,1022.1,0.0,05/04/23 00:05,TEZS,0
17.6,36,2.3,3.2,112.5,4.8,112.5,1022.2,0.0,05/04/23 00:10,TEZS,0
17.6,36,2.3,0.0,112.5,3.2,112.5,1022.3,0.0,05/04/23 00:15,TEZS,0
17.5,38,3.0,0.0,112.5,3.2,112.5,1022.2,0.0,05/04/23 00:20,TEZS,0
17.4,38,2.9,0.0,112.5,1.6,112.5,1022.0,0.0,05/04/23 00:25,TEZS,0
17.3,39,3.2,1.6,112.5,3.2,112.5,1022.0,0.0,05/04/23 00:30,TEZS,0
17.4,39,3.3,4.8,157.5,8.0,157.5,1021.9,0.0,05/04/23 00:35,TEZS,0
17.5,38,3.0,3.2,157.5,8.0,157.5,1021.9,0.0,05/04/23 00:40,TEZS,0
17.4,38,3.0,1.6,135.0,4.8,112.5,1021.9,0.0,05/04/23 00:45,TEZS,0
17.3,38,2.8,4.8,157.5,11.3,157.5,1021.8,0.0,05/04/23 00:50,TEZS,0
17.2,38,2.7,6.4,157.5,9.7,157.5,1021.8,0.0,05/04/23 00:55,TEZS,0
17.1,38,2.6,3.2,157.5,4.8,157.5,1021.9,0.0,05/04/23 01:00,TEZS,0
16.9,39,2.8,3.2,157.5,8.0,157.5,1021.7,0.0,05/04/23 01:05,TEZS,0
16.8,39,2.7,3.2,135.0,6.4,157.5,1021.6,0.0,05/04/23 01:10,TEZS,0
16.7,39,2.7,3.2,135.0,6.4,112.5,1021.6,0.0,05/04/23 01:15,TEZS,0
16.7,39,2.6,4.8,135.0,11.3,112.5,1021.4,0.0,05/04/23 01:20,TEZS,0
16.7,39,2.6,3.2,135.0,6.4,157.5,1021.4,0.0,05/04/23 01:25,TEZS,0
16.7,39,2.6,3.2,135.0,9.7,112.5,1021.3,0.0,05/04/23 01:30,TEZS,0
16.7,39,2.6,3.2,135.0,9.7,157.5,1021.3,0.0,05/04/23 01:35,TEZS,0
16.6,39,2.6,4.8,157.5,11.3,157.5,1021.3,0.0,05/04/23 01:40,TEZS,0
16.6,40,2.9,6.4,157.5,9.7,157.5,1021.2,0.0,05/04/23 01:45,TEZS,0
16.7,40,3.0,6.4,157.5,9.7,157.5,1021.2,0.0,05/04/23 01:50,TEZS,0
16.7,40,3.0,4.8,157.5,9.7,157.5,1021.1,0.0,05/04/23 01:55,TEZS,0
16.7,40,3.0,3.2,135.0,9.7,112.5,1021.1,0.0,05/04/23 02:00,TEZS,0
16.6,41,3.2,3.2,157.5,6.4,157.5,1021.1,0.0,05/04/23 02:05,TEZS,0
16.5,41,3.2,4.8,157.5,6.4,157.5,1021.1,0.0,05/04/23 02:10,TEZS,0
16.4,41,3.1,1.6,180.0,6.4,180.0,1021.1,0.0,05/04/23 02:15,TEZS,0
16.3,42,3.4,1.6,180.0,3.2,180.0,1021.0,0.0,05/04/23 02:20,TEZS,0
16.3,43,3.7,1.6,180.0,3.2,180.0,1020.9,0.0,05/04/23 02:25,TEZS,0
16.1,43,3.5,1.6,180.0,3.2,180.0,1020.9,0.0,05/04/23 02:30,TEZS,0
16.0,43,3.4,1.6,180.0,4.8,180.0,1020.8,0.0,05/04/23 02:35,TEZS,0
16.0,43,3.4,4.8,157.5,8.0,157.5,1020.8,0.0,05/04/23 02:40,TEZS,0
15.9,42,3.0,3.2,157.5,6.4,157.5,1020.7,0.0,05/04/23 02:45,TEZS,0
15.9,42,3.0,4.8,157.5,8.0,157.5,1020.7,0.0,05/04/23 02:50,TEZS,0
15.8,43,3.3,3.2,157.5,4.8,157.5,1020.6,0.0,05/04/23 02:55,TEZS,0
15.7,43,3.2,3.2,157.5,4.8,157.5,1020.6,0.0,05/04/23 03:00,TEZS,0
15.7,43,3.1,4.8,157.5,8.0,157.5,1020.7,0.0,05/04/23 03:05,TEZS,0
15.7,43,3.1,3.2,157.5,4.8,157.5,1020.6,0.0,05/04/23 03:10,TEZS,0
15.6,44,3.3,1.6,157.5,4.8,157.5,1020.6,0.0,05/04/23 03:15,TEZS,0
15.4,44,3.2,3.2,157.5,4.8,157.5,1020.6,0.0,05/04/23 03:20,TEZS,0
15.2,45,3.4,1.6,157.5,3.2,135.0,1020.7,0.0,05/04/23 03:25,TEZS,0
15.1,45,3.2,1.6,157.5,4.8,157.5,1020.7,0.0,05/04/23 03:30,TEZS,0
14.9,45,3.1,3.2,157.5,6.4,157.5,1020.6,0.0,05/04/23 03:35,TEZS,0
14.8,45,3.0,3.2,135.0,6.4,112.5,1020.6,0.0,05/04/23 03:40,TEZS,0
14.8,46,3.3,4.8,135.0,9.7,112.5,1020.5,0.0,05/04/23 03:45,TEZS,0
14.7,46,3.2,4.8,135.0,11.3,112.5,1020.6,0.0,05/04/23 03:50,TEZS,0
14.6,47,3.4,4.8,135.0,12.9,112.5,1020.6,0.0,05/04/23 03:55,TEZS,0
14.6,46,3.1,4.8,135.0,11.3,112.5,1020.6,0.0,05/04/23 04:00,TEZS,0
14.5,46,3.0,4.8,135.0,9.7,112.5,1020.7,0.0,05/04/23 04:05,TEZS,0
14.4,45,2.6,4.8,135.0,11.3,135.0,1020.6,0.0,05/04/23 04:10,TEZS,0
14.4,44,2.3,4.8,112.5,9.7,90.0,1020.7,0.0,05/04/23 04:15,TEZS,0
14.4,44,2.3,6.4,112.5,11.3,135.0,1020.6,0.0,05/04/23 04:20,TEZS,0
14.5,45,2.7,6.4,112.5,12.9,135.0,1020.5,0.0,05/04/23 04:25,TEZS,0
14.6,45,2.8,6.4,112.5,12.9,112.5,1020.5,0.0,05/04/23 04:30,TEZS,0
14.7,45,2.9,6.4,112.5,11.3,90.0,1020.5,0.0,05/04/23 04:35,TEZS,0
14.8,45,3.0,6.4,112.5,11.3,112.5,1020.6,0.0,05/04/23 04:40,TEZS,0
14.9,45,3.1,6.4,135.0,11.3,135.0,1020.6,0.0,05/04/23 04:45,TEZS,0
14.9,45,3.1,6.4,112.5,11.3,112.5,1020.7,0.0,05/04/23 04:50,TEZS,0
14.9,45,3.1,8.0,112.5,12.9,135.0,1020.7,0.0,05/04/23 04:55,TEZS,0
14.9,45,3.1,6.4,112.5,14.5,112.5,1020.8,0.0,05/04/23 05:00,TEZS,0
14.9,46,3.4,6.4,135.0,12.9,112.5,1020.9,0.0,05/04/23 05:05,TEZS,0
14.9,46,3.4,4.8,135.0,11.3,135.0,1020.8,0.0,05/04/23 05:10,TEZS,0
14.8,45,3.0,4.8,135.0,11.3,135.0,1020.9,0.0,05/04/23 05:15,TEZS,0
14.8,45,3.0,4.8,135.0,11.3,135.0,1021.0,0.0,05/04/23 05:20,TEZS,0
14.8,45,3.0,4.8,135.0,9.7,112.5,1021.1,0.0,05/04/23 05:25,TEZS,0
14.8,46,3.3,4.8,135.0,11.3,112.5,1021.2,0.0,05/04/23 05:30,TEZS,0
14.7,46,3.2,6.4,157.5,11.3,157.5,1021.3,0.0,05/04/23 05:35,TEZS,0
14.6,47,3.4,6.4,157.5,11.3,135.0,1021.3,0.0,05/04/23 05:40,TEZS,0
14.6,47,3.4,8.0,157.5,12.9,157.5,1021.3,0.0,05/04/23 05:45,TEZS,0
14.4,48,3.6,6.4,157.5,11.3,157.5,1021.3,0.0,05/04/23 05:50,TEZS,0
14.3,49,3.7,3.2,157.5,9.7,157.5,1021.4,0.0,05/04/23 05:55,TEZS,0
14.1,50,3.8,6.4,157.5,9.7,157.5,1021.3,0.0,05/04/23 06:00,TEZS,0
13.8,50,3.6,3.2,157.5,9.7,157.5,1021.4,0.0,05/04/23 06:05,TEZS,0
13.6,51,3.7,1.6,135.0,4.8,157.5,1021.4,0.0,05/04/23 06:10,TEZS,0
13.4,52,3.8,1.6,135.0,3.2,135.0,1021.5,0.0,05/04/23 06:15,TEZS,0
13.3,52,3.6,1.6,135.0,3.2,135.0,1021.4,0.0,05/04/23 06:20,TEZS,0
13.2,53,3.8,1.6,135.0,4.8,135.0,1021.8,0.0,05/04/23 06:25,TEZS,0
13.1,53,3.7,1.6,135.0,3.2,135.0,1021.8,0.0,05/04/23 06:30,TEZS,0
13.0,53,3.6,1.6,135.0,3.2,135.0,1021.8,0.0,05/04/23 06:35,TEZS,5
12.9,53,3.6,1.6,135.0,3.2,135.0,1022.0,0.0,05/04/23 06:40,TEZS,6
12.9,53,3.5,1.6,135.0,3.2,135.0,1022.0,0.0,05/04/23 06:45,TEZS,9
12.9,53,3.5,1.6,135.0,3.2,135.0,1022.0,0.0,05/04/23 06:50,TEZS,15
12.9,53,3.6,1.6,135.0,3.2,135.0,1022.0,0.0,05/04/23 06:55,TEZS,19
13.1,53,3.7,1.6,135.0,3.2,135.0,1022.2,0.0,05/04/23 07:00,TEZS,35
13.3,53,3.9,1.6,157.5,3.2,157.5,1022.3,0.0,05/04/23 07:05,TEZS,47
13.5,52,3.8,1.6,157.5,6.4,157.5,1022.2,0.0,05/04/23 07:10,TEZS,63
13.8,51,3.8,3.2,157.5,6.4,157.5,1022.0,0.0,05/04/23 07:15,TEZS,79
14.0,51,4.0,3.2,157.5,6.4,157.5,1022.4,0.0,05/04/23 07:20,TEZS,93
14.3,50,4.0,3.2,157.5,8.0,157.5,1022.3,0.0,05/04/23 07:25,TEZS,109
