temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,fechaHora,idEstacion
10.2,53,1.0,0.0,180.0,1.6,180.0,737.9,0.0,05/04/23 0:10,TPJS
10.0,52,0.6,1.6,180.0,6.4,180.0,737.8,0.0,05/04/23 0:20,TPJS
9.9,51,0.3,3.2,180.0,6.4,180.0,737.7,0.0,05/04/23 0:30,TPJS
9.9,51,0.2,1.6,180.0,4.8,180.0,737.7,0.0,05/04/23 0:40,TPJS
9.7,52,0.3,1.6,180.0,6.4,180.0,737.6,0.0,05/04/23 0:50,TPJS
9.5,53,0.4,0.0,180.0,1.6,180.0,737.5,0.0,05/04/23 1:00,TPJS
9.3,53,0.2,1.6,180.0,4.8,180.0,737.4,0.0,05/04/23 1:10,TPJS
9.4,54,0.5,1.6,180.0,4.8,180.0,737.4,0.0,05/04/23 1:20,TPJS
9.6,55,1.0,1.6,180.0,3.2,180.0,737.3,0.0,05/04/23 1:30,TPJS
10.3,54,1.4,1.6,180.0,4.8,180.0,737.2,0.0,05/04/23 1:40,TPJS
10.3,55,1.7,1.6,180.0,4.8,180.0,737.2,0.0,05/04/23 1:50,TPJS
10.1,56,1.7,0.0,180.0,3.2,180.0,737.2,0.0,05/04/23 2:00,TPJS
9.9,58,2.0,3.2,180.0,4.8,180.0,737.2,0.0,05/04/23 2:10,TPJS
9.8,59,2.1,0.0,180.0,4.8,180.0,737.0,0.0,05/04/23 2:20,TPJS
9.6,60,2.2,1.6,180.0,4.8,180.0,736.9,0.0,05/04/23 2:30,TPJS
9.4,62,2.5,1.6,180.0,6.4,180.0,736.9,0.0,05/04/23 2:40,TPJS
9.3,62,2.4,0.0,180.0,3.2,180.0,736.8,0.0,05/04/23 2:50,TPJS
9.3,63,2.6,0.0,180.0,1.6,180.0,736.7,0.0,05/04/23 3:00,TPJS
9.3,65,3.0,3.2,180.0,6.4,180.0,736.7,0.0,05/04/23 3:10,TPJS
9.2,66,3.2,3.2,180.0,6.4,180.0,736.6,0.0,05/04/23 3:20,TPJS
9.1,66,3.1,3.2,180.0,6.4,180.0,736.6,0.0,05/04/23 3:30,TPJS
9.0,66,3.0,1.6,180.0,6.4,180.0,736.5,0.0,05/04/23 3:40,TPJS
8.8,67,3.0,0.0,9999.0,0.0,9999.0,736.5,0.0,05/04/23 3:50,TPJS
8.6,68,3.0,0.0,180.0,1.6,180.0,736.4,0.0,05/04/23 4:00,TPJS
8.6,69,3.2,1.6,180.0,4.8,180.0,736.5,0.0,05/04/23 4:10,TPJS
8.4,69,3.1,0.0,180.0,3.2,180.0,736.5,0.0,05/04/23 4:20,TPJS
8.3,70,3.2,0.0,180.0,4.8,180.0,736.5,0.0,05/04/23 4:30,TPJS
8.3,71,3.3,1.6,180.0,6.4,180.0,736.5,0.0,05/04/23 4:40,TPJS
8.1,71,3.2,0.0,180.0,1.6,180.0,736.5,0.0,05/04/23 4:50,TPJS
7.9,71,3.0,0.0,9999.0,0.0,9999.0,736.6,0.0,05/04/23 5:00,TPJS
7.7,72,3.0,0.0,180.0,1.6,180.0,736.6,0.0,05/04/23 5:10,TPJS
7.7,73,3.1,1.6,180.0,4.8,180.0,736.7,0.0,05/04/23 5:20,TPJS
