temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,UV,fechaHora
26.7,31,8.2,1.8,45.0,4.5,45.0,781.6,0.0,6.4,2/04/23 00:30
27.1,31,8.5,2.7,67.5,6.3,67.5,781.1,0.0,6.1,2/04/23 01:00
27.7,30,8.5,1.3,292.5,4.0,45.0,780.5,0.0,5.8,2/04/23 01:30
28.3,31,9.5,1.8,315.0,5.8,315.0,779.9,0.0,5.3,2/04/23 02:00
28.1,29,8.4,2.2,315.0,5.8,337.5,779.5,0.0,4.6,2/04/23 02:30
28.9,29,9.1,1.8,157.5,4.5,135.0,779.0,0.0,3.8,2/04/23 03:00
29.5,26,8.0,1.8,90.0,4.9,112.5,778.6,0.0,3.1,2/04/23 03:30
29.7,26,8.2,1.8,67.5,5.4,67.5,778.4,0.0,2.1,2/04/23 04:00
29.2,26,7.7,0.4,135.0,2.2,45.0,778.1,0.0,1.0,2/04/23 04:30
28.5,27,7.7,0.9,45.0,2.2,360.0,777.9,0.0,0.8,2/04/23 05:00
28.8,25,6.8,0.4,360.0,2.2,360.0,778.0,0.0,0.6,2/04/23 05:30
28.4,31,9.7,1.3,360.0,6.3,135.0,778.1,0.0,0.0,2/04/23 06:00
26.5,34,9.4,4.5,112.5,7.2,157.5,778.7,0.0,0.0,2/04/23 06:30
25.6,31,7.2,3.6,157.5,7.6,157.5,779.3,0.0,0.0,2/04/23 07:00
24.7,32,6.9,4.0,135.0,8.9,157.5,779.4,0.0,0.0,2/04/23 07:30
24.1,35,7.6,4.0,112.5,6.7,135.0,780.1,0.0,0.0,2/04/23 08:00
23.6,42,9.9,2.2,90.0,5.4,112.5,780.9,0.0,0.0,2/04/23 08:30
22.1,50,11.1,3.6,360.0,9.4,360.0,781.4,0.0,0.0,2/04/23 09:00
20.7,52,10.5,3.6,360.0,8.5,337.5,781.9,0.0,0.0,2/04/23 09:30
19.8,55,10.5,2.7,337.5,7.2,45.0,782.3,0.0,0.0,2/04/23 10:00
19.4,56,10.4,1.8,67.5,4.9,67.5,782.6,0.0,0.0,2/04/23 10:30
18.8,57,10.1,0.4,22.5,2.2,67.5,782.4,0.0,0.0,2/04/23 11:00
18.6,57,9.9,0.9,315.0,3.1,315.0,782.3,0.0,0.0,2/04/23 11:30
18.7,55,9.5,0.9,292.5,3.6,315.0,781.9,0.0,0.0,2/04/23 12:00
18.4,55,9.2,0.0,9999.0,0.0,9999.0,781.5,0.0,0.0,2/04/23 12:30
18.2,58,9.8,0.4,247.5,2.2,247.5,781.1,0.0,0.0,2/04/23 13:00
17.7,62,10.3,0.4,247.5,2.2,157.5,780.9,0.0,0.0,2/04/23 13:30
16.7,65,10.1,0.4,157.5,1.3,157.5,780.5,0.0,0.0,2/04/23 14:00
16.0,66,9.6,0.0,157.5,0.4,157.5,780.3,0.0,0.0,2/04/23 14:30
15.8,65,9.2,0.0,9999.0,0.0,9999.0,780.1,0.0,0.0,2/04/23 15:00
15.7,66,9.4,0.0,9999.0,0.0,9999.0,780.1,0.0,0.0,2/04/23 15:30
15.4,67,9.3,0.0,9999.0,0.0,9999.0,780.1,0.0,0.0,2/04/23 16:00
14.9,68,9.1,0.0,9999.0,0.0,9999.0,780.2,0.0,0.0,2/04/23 16:30
15.4,69,9.7,0.0,9999.0,0.0,9999.0,780.4,0.0,0.0,2/04/23 17:00
15.2,69,9.5,0.0,9999.0,0.0,9999.0,780.8,0.0,0.0,2/04/23 17:30
14.7,71,9.5,0.0,9999.0,0.0,9999.0,781.0,0.0,0.0,2/04/23 18:00
14.1,73,9.3,0.0,9999.0,0.0,9999.0,781.2,0.0,0.0,2/04/23 18:30
13.9,71,8.8,0.0,9999.0,0.0,9999.0,781.5,0.0,0.0,2/04/23 19:00
16.1,62,8.8,0.0,9999.0,0.0,9999.0,781.3,0.0,0.3,2/04/23 19:30
18.3,57,9.6,0.0,9999.0,0.0,9999.0,781.7,0.0,1.0,2/04/23 20:00
19.7,52,9.5,0.0,45.0,1.8,45.0,781.6,0.0,1.7,2/04/23 20:30
20.6,50,9.8,0.9,45.0,2.2,45.0,781.7,0.0,2.4,2/04/23 21:00
21.8,46,9.7,0.4,22.5,2.7,112.5,781.7,0.0,3.2,2/04/23 21:30
22.7,44,9.8,1.3,360.0,3.1,315.0,781.4,0.0,3.9,2/04/23 22:00
24.2,40,9.8,0.9,292.5,3.6,112.5,781.1,0.0,4.3,2/04/23 22:30
24.8,38,9.5,1.8,270.0,4.5,270.0,780.8,0.0,4.9,2/04/23 23:00
25.8,35,9.2,1.8,270.0,4.5,270.0,780.4,0.0,5.4,2/04/23 23:30
26.9,32,8.8,1.8,292.5,4.9,45.0,780.0,0.0,5.9,3/04/23 00:00
27.5,30,8.4,1.8,337.5,4.9,315.0,779.5,0.0,5.9,3/04/23 00:30
28.3,28,8.0,1.8,337.5,4.9,315.0,779.0,0.0,5.5,3/04/23 01:00
29.0,27,8.1,1.8,67.5,4.5,337.5,778.4,0.0,5.1,3/04/23 01:30
29.6,26,8.1,2.7,67.5,5.8,112.5,777.9,0.0,4.7,3/04/23 02:00
29.4,26,7.9,2.2,45.0,4.9,112.5,777.4,0.0,3.9,3/04/23 02:30
29.8,26,8.2,1.8,135.0,5.4,135.0,776.9,0.0,3.1,3/04/23 03:00
30.4,25,8.1,1.8,45.0,4.9,45.0,776.7,0.0,2.5,3/04/23 03:30
29.7,28,9.3,2.7,112.5,5.4,112.5,776.5,0.0,1.3,3/04/23 04:00
28.9,26,7.5,4.0,135.0,7.6,180.0,776.6,0.0,0.7,3/04/23 04:30
28.8,27,7.9,4.0,180.0,8.0,202.5,776.6,0.0,0.8,3/04/23 05:00
27.9,26,6.7,3.6,180.0,8.9,157.5,776.7,0.0,0.3,3/04/23 05:30
27.2,27,6.6,4.5,202.5,10.7,180.0,776.9,0.0,0.0,3/04/23 06:00
26.2,27,5.7,4.0,180.0,9.4,157.5,777.1,0.0,0.0,3/04/23 06:30
25.2,30,6.4,3.6,180.0,9.4,337.5,777.6,0.0,0.0,3/04/23 07:00
24.4,30,5.7,3.6,157.5,7.2,157.5,778.1,0.0,0.0,3/04/23 07:30
24.0,31,5.8,2.7,180.0,7.6,157.5,778.7,0.0,0.0,3/04/23 08:00
23.7,33,6.4,1.8,202.5,5.4,225.0,779.0,0.0,0.0,3/04/23 08:30
23.3,34,6.5,2.2,157.5,4.9,157.5,779.2,0.0,0.0,3/04/23 09:00
22.6,37,7.2,0.4,157.5,1.8,157.5,779.8,0.0,0.0,3/04/23 09:30
21.7,39,7.1,0.9,337.5,3.6,337.5,780.2,0.0,0.0,3/04/23 10:00
22.1,45,9.6,1.3,315.0,3.6,360.0,780.3,0.0,0.0,3/04/23 10:30
21.8,46,9.7,1.3,292.5,4.5,292.5,780.3,0.0,0.0,3/04/23 11:00
21.4,48,9.9,0.9,292.5,3.1,292.5,780.2,0.0,0.0,3/04/23 11:30
20.4,49,9.4,0.4,292.5,2.7,292.5,780.3,0.0,0.0,3/04/23 12:00
19.9,49,8.9,0.4,292.5,2.2,292.5,780.2,0.0,0.0,3/04/23 12:30
19.7,47,8.1,0.4,292.5,1.8,292.5,780.0,0.0,0.0,3/04/23 13:00
18.6,47,7.1,0.4,292.5,1.3,292.5,779.7,0.0,0.0,3/04/23 13:30
17.7,49,6.9,0.0,292.5,0.9,292.5,779.4,0.0,0.0,3/04/23 14:00
17.1,51,6.8,0.4,225.0,1.3,247.5,779.1,0.0,0.0,3/04/23 14:30
16.6,52,6.7,0.0,225.0,0.9,225.0,778.9,0.0,0.0,3/04/23 15:00
16.3,54,7.0,0.0,9999.0,0.0,9999.0,778.7,0.0,0.0,3/04/23 15:30
16.3,51,6.1,0.4,225.0,1.8,225.0,778.9,0.0,0.0,3/04/23 16:00
16.6,52,6.7,0.9,225.0,2.2,225.0,779.1,0.0,0.0,3/04/23 16:30
16.4,55,7.4,0.9,225.0,2.2,225.0,779.2,0.0,0.0,3/04/23 17:00
15.4,58,7.2,0.0,225.0,0.9,225.0,779.4,0.0,0.0,3/04/23 17:30
14.7,60,7.0,0.4,225.0,1.3,225.0,779.8,0.0,0.0,3/04/23 18:00
14.4,59,6.5,0.4,225.0,1.3,247.5,780.1,0.0,0.0,3/04/23 18:30
