temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,UV,fechaHora
19.4,34,3.1,0.0,9999.0,0.0,9999.0,772.8,0.0,0.0,05/04/23 00:30
18.7,37,3.7,0.0,9999.0,0.0,9999.0,772.4,0.0,0.0,05/04/23 01:00
18.3,37,3.4,0.4,225.0,2.7,225.0,772.2,0.0,0.0,05/04/23 01:30
18.4,39,4.2,0.9,225.0,1.8,225.0,772.2,0.0,0.0,05/04/23 02:00
17.9,40,4.1,0.9,180.0,2.7,157.5,771.9,0.0,0.0,05/04/23 02:30
17.6,43,4.8,0.9,202.5,2.2,180.0,771.7,0.0,0.0,05/04/23 03:00
16.8,46,5.1,0.0,202.5,0.4,202.5,771.6,0.0,0.0,05/04/23 03:30
16.6,48,5.5,0.0,202.5,0.4,202.5,771.4,0.0,0.0,05/04/23 04:00
16.5,46,4.8,0.0,202.5,0.4,202.5,771.6,0.0,0.0,05/04/23 04:30
16.6,49,5.8,0.0,202.5,0.9,202.5,771.7,0.0,0.0,05/04/23 05:00
16.3,52,6.4,0.4,202.5,1.8,202.5,772.1,0.0,0.0,05/04/23 05:30
16.1,53,6.5,0.0,202.5,0.9,202.5,772.3,0.0,0.0,05/04/23 06:00
15.9,52,6.1,0.0,9999.0,0.0,9999.0,772.6,0.0,0.0,05/04/23 06:30
16.0,52,6.1,0.4,180.0,1.8,180.0,772.7,0.0,0.0,05/04/23 07:00
17.2,48,6.1,0.0,180.0,1.8,180.0,773.0,0.0,0.0,05/04/23 07:30
18.6,44,6.1,0.0,9999.0,0.0,9999.0,773.3,0.0,0.6,05/04/23 08:00
20.1,39,5.7,0.9,135.0,3.1,135.0,773.4,0.0,1.1,05/04/23 08:30
20.7,38,5.8,0.9,135.0,3.1,135.0,773.4,0.0,1.7,05/04/23 09:00
21.8,37,6.5,1.3,135.0,4.0,67.5,773.4,0.0,2.4,05/04/23 09:30
23.7,33,6.5,0.9,135.0,2.7,112.5,773.5,0.0,3.3,05/04/23 10:00
24.1,31,5.9,1.8,90.0,4.5,45.0,773.2,0.0,4.1,05/04/23 10:30
24.6,29,5.3,2.2,90.0,5.4,90.0,773.0,0.0,4.8,05/04/23 11:00
25.1,28,5.3,1.8,337.5,5.8,292.5,772.6,0.0,5.1,05/04/23 11:30
26.2,25,4.6,2.2,112.5,6.3,135.0,772.4,0.0,5.5,05/04/23 12:00
26.8,24,4.6,1.8,45.0,6.3,90.0,771.9,0.0,5.7,05/04/23 12:30
27.8,23,4.7,2.2,135.0,5.4,135.0,771.4,0.0,5.7,05/04/23 13:00
28.6,18,2.0,2.2,112.5,7.2,45.0,770.8,0.0,5.5,05/04/23 13:30
29.7,14,-0.7,3.1,112.5,8.0,157.5,770.4,0.0,5.0,05/04/23 14:00
29.8,13,-1.6,4.0,112.5,8.9,112.5,769.8,0.0,4.3,05/04/23 14:30
30.1,11,-3.7,4.0,135.0,9.4,135.0,769.5,0.0,4.1,05/04/23 15:00
29.9,5,-13.8,4.0,157.5,9.4,135.0,769.2,0.0,4.0,05/04/23 15:30
